data_seed,data_type,ntrain
95,mixture,500
95,mixture,1000
95,skewnorm,250
95,skewnorm,500
95,skewnorm,1000
95,ptm,250
95,ptm,500
95,ptm,1000
96,gaussian,250
96,gaussian,500
96,gaussian,1000
96,mixture,250
96,mixture,500
96,mixture,1000
96,skewnorm,250
96,skewnorm,500
96,skewnorm,1000
96,ptm,250
96,ptm,500
96,ptm,1000
97,gaussian,250
97,gaussian,500
97,gaussian,1000
97,mixture,250
97,mixture,500
97,mixture,1000
97,skewnorm,250
97,skewnorm,500
97,skewnorm,1000
97,ptm,250
97,ptm,500
97,ptm,1000
98,gaussian,250
98,gaussian,500
98,gaussian,1000
98,mixture,250
98,mixture,500
98,mixture,1000
98,skewnorm,250
98,skewnorm,500
98,skewnorm,1000
98,ptm,250
98,ptm,500
98,ptm,1000
99,gaussian,250
99,gaussian,500
99,gaussian,1000
99,mixture,250
99,mixture,500
99,mixture,1000
99,skewnorm,250
99,skewnorm,500
99,skewnorm,1000
99,ptm,250
99,ptm,500
99,ptm,1000
100,gaussian,250
100,gaussian,500
100,gaussian,1000
100,mixture,250
100,mixture,500
100,mixture,1000
100,skewnorm,250
100,skewnorm,500
100,skewnorm,1000
100,ptm,250
100,ptm,500
100,ptm,1000
