waic,kld,log_score,crps,cdf_mad,cdf_ci_coverage,cdf_ci_width,data_type,data_seed,model,ntrain,ntest,fit_seconds,job,run,mcmc_strategy,apply_jitter,ig_a,ig_b
772.3210757479966,0.2663013228358263,8600.558216735832,0.8826097160227395,0.1230064004354426,0.8234,0.3015523691100892,mixture,4,ptm-iwls-nuts,250,5000,684.0157380104065,010j-ptm-iwls-nuts-ig1_005,20251213-103407,iwls-nuts,FALSE,0.01,0.01
1534.4767860199572,0.073224492233897015,7635.174063726185,0.8290969278050722,0.06891430850641031,0.9606,0.2136927904076648,mixture,4,ptm-iwls-nuts,500,5000,1079.0211029052734,010j-ptm-iwls-nuts-ig1_005,20251213-104052,iwls-nuts,FALSE,0.01,0.01
691.9044150177942,0.1985996150263866,8246.877135794253,0.8538134416637475,0.10143798220672452,0.8108,0.24982435223929236,mixture,5,ptm-iwls-nuts,250,5000,1093.9588799476624,010j-ptm-iwls-nuts-ig1_005,20251213-104708,iwls-nuts,FALSE,0.01,0.01
1472.2112516784443,0.12613290293857354,7884.543575355187,0.836647298843912,0.07840572805795293,0.8104,0.1977630017847638,mixture,5,ptm-iwls-nuts,500,5000,1125.5466678142548,010j-ptm-iwls-nuts-ig1_005,20251213-104803,iwls-nuts,FALSE,0.01,0.01
779.8659859428702,0.11881966959740084,7773.080070345377,0.8271188448871699,0.09151008362894689,0.9828,0.28988714778396285,mixture,6,ptm-iwls-nuts,250,5000,730.1628527641296,010j-ptm-iwls-nuts-ig1_005,20251213-104403,iwls-nuts,FALSE,1,0.005
1519.4897981408778,0.06239097903720667,7490.9366175444065,0.8182489653187528,0.06498854362537249,0.97,0.20746578068679983,mixture,6,ptm-iwls-nuts,500,5000,1061.9309301376345,010j-ptm-iwls-nuts-ig1_005,20251213-104908,iwls-nuts,FALSE,1,0.005
748.9755366849212,0.16282364571958577,7975.309443374629,0.8246130812580088,0.10370395502398529,0.9046,0.2855906542632787,mixture,7,ptm-iwls-nuts,250,5000,729.8990664482117,010j-ptm-iwls-nuts-ig1_005,20251213-104952,iwls-nuts,FALSE,0.01,0.01
1512.551948474122,0.07919201428014129,7557.151286177406,0.8100101175380992,0.06726658713279915,0.9406,0.20316047230371057,mixture,7,ptm-iwls-nuts,500,5000,1055.252435922623,010j-ptm-iwls-nuts-ig1_005,20251213-105703,iwls-nuts,FALSE,1,0.005
825.9809872578033,0.17728019669327733,8057.774852226887,0.8292321448499397,0.10975881195531167,0.958,0.3301731383047812,mixture,8,ptm-iwls-nuts,250,5000,680.1622498035431,010j-ptm-iwls-nuts-ig1_005,20251213-105327,iwls-nuts,FALSE,0.01,0.01
1566.6974340773004,0.0802485289774698,7572.616513647848,0.810533693447951,0.06887396321285749,0.929,0.20413057468923457,mixture,8,ptm-iwls-nuts,500,5000,1050.943036317825,010j-ptm-iwls-nuts-ig1_005,20251213-105829,iwls-nuts,FALSE,1,0.005
