kld_kde,kld_kde_floor,mad_kde,kld_gaussian,mad_gaussian,data,seed,nobs
0.330996349152099,0.330996349152099,0.06340694269235711,0.6235887156492355,0.06585475144727342,u-shaped,3,50
0.10393926996531383,0.10393926996531383,0.053913969266565206,0.21936471091502302,0.06073285585084219,unif,3,50
Inf,0.039848599516404994,0.01230708903583423,0.022094763213879313,0.024848081045571194,gaussian,3,100
Inf,0.20332856159163515,0.020663833773626558,0.17801822713461812,0.05869022700325303,ptm,3,100
0.040622292614527496,0.040622292614527496,0.02969954386778108,0.07624552201397518,0.04053287482110055,skewnorm,3,100
0.0734376643652752,0.0734376643652752,0.027046254027890664,0.2503896292897527,0.055985938715819854,mixture,3,100
0.2892476829401844,0.2892476829401844,0.017705681415343053,0.6080758381746267,0.05393913085836519,u-shaped,3,100
0.07023893512726825,0.07023893512726825,0.017882596959728218,0.18288569921923375,0.03816618199726385,unif,3,100
0.012792300075480656,0.012792300075480656,0.013563330159087963,0.0044353688759640715,0.0146201052324008,gaussian,3,500
Inf,0.15812846987755758,0.005018392890164947,0.18131969995113134,0.047232703943880176,ptm,3,500
-7.873303043005772e-4,-7.873303043005772e-4,0.008813663029767294,0.06781316953060725,0.03530643947722716,skewnorm,3,500
0.002130059802380333,0.002130059802380333,0.004833058338940048,0.24678198263316692,0.05947776567878458,mixture,3,500
0.23853986722681658,0.23853986722681658,0.016100008747709286,0.6060711448027711,0.059397958656838244,u-shaped,3,500
0.040823816004283885,0.040823816004283885,0.007616133868600498,0.17975900688485072,0.0363898922154216,unif,3,500
Inf,0.2940506171457745,0.14705748811893227,0.2537971923610689,0.15279512662657,gaussian,4,25
Inf,0.1987665979612244,0.027631968015270836,0.13871247855665855,0.06338979922229207,ptm,4,25
0.020162733472836075,0.020162733472836075,0.023121036868655565,0.06736838889036244,0.04609272646025548,skewnorm,4,25
Inf,0.06587484027477278,0.04671546796995708,0.2560949461172871,0.07162803141460988,mixture,4,25
0.5372693923039014,0.5372693923039014,0.05013174747798884,0.6233174174900143,0.07468891545954695,u-shaped,4,25
0.23151942367476824,0.23151942367476824,0.07574267246441037,0.23001340145093785,0.07285911589865508,unif,4,25
0.035582668476318816,0.035582668476318816,0.06922058906946102,0.03746135094659785,0.06911419941419863,gaussian,4,50
Inf,0.20703554020989764,0.028157908460941013,0.12876156601064628,0.06265287167442515,ptm,4,50
0.005524969345841674,0.005524969345841674,0.003853368263925504,0.06731153754609301,0.03790730663118342,skewnorm,4,50
0.08131889094492427,0.08131889094492427,0.060995156281591384,0.256823755334367,0.06768752755030154,mixture,4,50
0.3623820543868999,0.3623820543868999,0.02975793089513581,0.6054354072922903,0.06446352517530421,u-shaped,4,50
0.16490725090607167,0.16490725090607167,0.07818415022164478,0.23174268163213121,0.07362652676835851,unif,4,50
0.01587632259901727,0.01587632259901727,0.0214565178808941,0.011608860233573014,0.029441462786091662,gaussian,4,100
Inf,0.17463852061588225,0.05863155432658784,0.15649747234624933,0.09409864613216137,ptm,4,100
0.018346517812007905,0.018346517812007905,0.011991402185714296,0.06676643068058778,0.04147226826565936,skewnorm,4,100
0.04739860755242771,0.04739860755242771,0.051153800716852944,0.2499142483476984,0.06630690873548092,mixture,4,100
0.29772657518794504,0.29772657518794504,0.019824986208738554,0.6033393283238262,0.06212882579544995,u-shaped,4,100
0.10302106230626877,0.10302106230626877,0.04825542219423952,0.20242701203980223,0.04608727110398232,unif,4,100
0.002812404202028808,0.002812404202028808,0.00939924089056721,8.253003453417523e-4,0.008935054826671566,gaussian,4,500
Inf,0.03453424881480372,0.011865704344268965,0.12583320376699356,0.056839375485883095,ptm,4,500
0.007135225802886395,0.007135225802886395,0.008624203322475231,0.0649122067267014,0.03115575934138617,skewnorm,4,500
0.006322674005424511,0.006322674005424511,0.013281138948347577,0.23895607516681852,0.059446924692327166,mixture,4,500
0.21102699312413664,0.21102699312413664,0.0089859000084135,0.6028572598148572,0.05830764716329992,u-shaped,4,500
0.04936013501401208,0.04936013501401208,0.01024471379914675,0.18056763711657658,0.032130654549647614,unif,4,500
0.03243583070688744,0.03243583070688744,0.024927931580994444,0.00310350747288904,0.009125851740183098,gaussian,5,25
Inf,0.07774385334234957,0.05352329028866125,0.17017132822099748,0.0625630065942598,ptm,5,25
0.07643639074095436,0.07643639074095436,0.09350317784147853,0.1666541441071582,0.113872865121719,skewnorm,5,25
0.12895856741410094,0.12895856741410094,0.0468565800952619,0.257975858759126,0.07142539141692632,mixture,5,25
0.4327081206364036,0.4327081206364036,0.04162560135657209,0.6273654949272989,0.05194698785109101,u-shaped,5,25
0.09343451626739861,0.09343451626739861,0.021091852302253775,0.18930889042329055,0.03486766719592967,unif,5,25
0.07741789379719966,0.07741789379719966,0.034035744966370865,0.0022048754834197728,0.019388818517699365,gaussian,5,50
0.04734526894970015,0.04734526894970015,0.018814343706475493,0.0831453084803479,0.04087239316936552,ptm,5,50
0.04283830728576851,0.04283830728576851,0.03406934361792018,0.10895127144766405,0.056479847446114964,skewnorm,5,50
0.0712445434718357,0.0712445434718357,0.03021601170061033,0.25216603337403587,0.0585080650344284,mixture,5,50
0.3690567326139536,0.3690567326139536,0.04645781488432859,0.6340483040935356,0.06537727407896152,u-shaped,5,50
0.11982560828724298,0.11982560828724298,0.013673551993888616,0.18884598387709908,0.03405416296536852,unif,5,50
0.025595515678708384,0.025595515678708384,0.014169118924344977,0.001968836648353354,0.011347255483400143,gaussian,5,100
Inf,0.046629038612294414,0.015386981800853123,0.0853322339227233,0.03882331651167748,ptm,5,100
0.034320429498096154,0.034320429498096154,0.0400334536065801,0.10759657363685214,0.06305289180163698,skewnorm,5,100
0.032648352382215695,0.032648352382215695,0.01660645068742539,0.24784313131654861,0.06008630684068007,mixture,5,100
0.33025309347045667,0.33025309347045667,0.02639891650943031,0.6224874692302041,0.06205920180617617,u-shaped,5,100
0.08748867325445096,0.08748867325445096,0.02022803671921309,0.19127401905944252,0.03093160547183958,unif,5,100
0.004187406492252835,0.004187406492252835,0.007488822420008892,3.488707826775728e-4,0.001591467037770843,gaussian,5,500
Inf,0.01695152673289661,0.008767669677690807,0.0771842879524524,0.031545586831622424,ptm,5,500
0.008248696822222843,0.008248696822222843,0.027935489425050978,0.10489351326204417,0.057171026311329,skewnorm,5,500
0.011882245262423296,0.011882245262423296,0.012987074742361842,0.2490511386943392,0.05979400496561598,mixture,5,500
0.23328063944470426,0.23328063944470426,0.01051629369729253,0.6185417280642315,0.0594290600358854,u-shaped,5,500
0.05348066345386476,0.05348066345386476,0.011148645867547716,0.18866767030715842,0.03176492021811399,unif,5,500
Inf,0.1325227542236851,0.037124456558793706,0.018743451314353926,0.042994789450395435,gaussian,6,25
Inf,0.8305161757889662,0.03991054022593737,0.55904376472719,0.03696627599573525,ptm,6,25
0.11997297580294769,0.11997297580294769,0.038448287825924625,0.11352323455495461,0.029420702009608876,skewnorm,6,25
Inf,0.13114231153466752,0.044867332492772874,0.27458824475158045,0.07777176712563022,mixture,6,25
0.3922099090482429,0.3922099090482429,0.01736851534826005,0.6061651419076024,0.054562129185688035,u-shaped,6,25
0.14491713094494876,0.14491713094494876,0.06480394735927597,0.2113178062010935,0.061049935436544155,unif,6,25
Inf,0.07207439951106284,0.024802543311232977,0.005305758095664707,0.02389061695525607,gaussian,6,50
Inf,0.4125816058823902,0.03575581735536592,0.437906685065503,0.036014706554963624,ptm,6,50
0.05626279827175911,0.05626279827175911,0.03331948927245627,0.08841012702649043,0.02567590791178711,skewnorm,6,50
Inf,0.08186973127908034,0.02896193781539769,0.24224826689199727,0.06370278287623597,mixture,6,50
0.4039655486894221,0.4039655486894221,0.04546735080318272,0.6179390461079624,0.06731813286650602,u-shaped,6,50
0.13496480479888068,0.13496480479888068,0.0660821810784414,0.2145338775564901,0.06231876610908817,unif,6,50
Inf,0.03970419181481447,0.030971565676377693,7.949587353453722e-4,0.005716485819446817,gaussian,6,100
Inf,0.2522153067492773,0.019122605693090378,0.3876102969068263,0.02904396456836383,ptm,6,100
0.044104004789973575,0.044104004789973575,0.027716624579150296,0.08694026562435991,0.0253749555181423,skewnorm,6,100
Inf,0.043529535556331475,0.01704106974816649,0.2377212188684146,0.0601535913160542,mixture,6,100
0.3279152033820206,0.3279152033820206,0.04019068038673012,0.616672395412559,0.06779443990764195,u-shaped,6,100
0.07864937583132443,0.07864937583132443,0.029925100288093937,0.19068447119907253,0.03503282268978452,unif,6,100
Inf,0.013215040966671473,0.015424644574422735,0.0013946776507020415,0.01309239094477964,gaussian,6,500
Inf,0.04410297649007601,0.009450013919761108,0.2479396468437041,0.05810741173979727,ptm,6,500
0.016654197273150116,0.016654197273150116,0.009831055834587448,0.08470036296526175,0.03237909454942824,skewnorm,6,500
Inf,0.025003138032336725,0.016411822137489002,0.2395064200421623,0.05826587921046169,mixture,6,500
0.21763950162454676,0.21763950162454676,0.02544294631946434,0.6083040910442243,0.0619352460487383,u-shaped,6,500
0.05095768804481529,0.05095768804481529,0.016386703932798754,0.18496492911943296,0.03432841084414857,unif,6,500
0.13144335908668053,0.13144335908668053,0.09582271011648505,0.1024400321387899,0.11642853318130846,gaussian,7,25
Inf,0.21280759323951812,0.08037296871717528,0.1921688804199936,0.05004744239365672,ptm,7,25
Inf,0.11877991890046753,0.042574429512590696,0.10439062590401244,0.06205170563469185,skewnorm,7,25
0.11020266445408287,0.11020266445408287,0.055455440993277434,0.24401968057986237,0.060800926594803205,mixture,7,25
