kld_test,mad_test,run,in_hdi_cdf,in_hdi_prob,in_ci_cdf,in_ci_prob,width_hdi_cdf,width_hdi_prob,width_ci_cdf,width_ci_prob
0.259838745504324,0.07761964358546737,dummy-0u4r7lxf,NA,NA,NA,NA,NA,NA,NA,NA
0.25119951698059184,0.06551267676606702,dummy-0ub93gbu,NA,NA,NA,NA,NA,NA,NA,NA
0.02003167878148764,0.01557861264267234,dummy-0ukxvmov,NA,NA,NA,NA,NA,NA,NA,NA
0.02243092359669365,0.01365173470794144,dummy-0uq2admo,NA,NA,NA,NA,NA,NA,NA,NA
0.01827694415250206,0.01795756121527219,dummy-0usc22ek,NA,NA,NA,NA,NA,NA,NA,NA
0.2795980027693275,0.08840645840567193,dummy-0uze0w8o,NA,NA,NA,NA,NA,NA,NA,NA
0.02990369561694525,0.04925981806694059,dummy-0v5yrfv5,NA,NA,NA,NA,NA,NA,NA,NA
0.22057964335993,0.12387174111476852,dummy-0vcvjeel,NA,NA,NA,NA,NA,NA,NA,NA
0.03915871771600394,0.03155007214116273,dummy-0w61voqr,NA,NA,NA,NA,NA,NA,NA,NA
0.08585292610752536,0.06408131547680847,dummy-0waxt1tl,NA,NA,NA,NA,NA,NA,NA,NA
0.02995519642894226,0.02984291417205385,dummy-0wuewmlc,NA,NA,NA,NA,NA,NA,NA,NA
0.17464163040407416,0.03251932533219136,dummy-0wwdxxkc,NA,NA,NA,NA,NA,NA,NA,NA
0.0592640747860281,0.04864601395013069,dummy-0xhi34t8,NA,NA,NA,NA,NA,NA,NA,NA
0.04156567693342437,0.03856730913255997,dummy-0xjv4a0v,NA,NA,NA,NA,NA,NA,NA,NA
0.00517327601634922,0.0150384162428139,dummy-0xndf3ga,NA,NA,NA,NA,NA,NA,NA,NA
0.0190122973264223,0.02584540735923835,dummy-0xvzh6iw,NA,NA,NA,NA,NA,NA,NA,NA
0.00285154095783342,0.01871416009233443,dummy-0xxqb7xk,NA,NA,NA,NA,NA,NA,NA,NA
0.04237877039013429,0.03188635940233122,dummy-0y703p9w,NA,NA,NA,NA,NA,NA,NA,NA
0.00708404026007819,0.01473294742785283,dummy-0yyc25vq,NA,NA,NA,NA,NA,NA,NA,NA
0.252669056975214,0.06746726615381032,dummy-0z4k8z3z,NA,NA,NA,NA,NA,NA,NA,NA
0.1124907651606121,0.04998887217500243,dummy-0z51fi62,NA,NA,NA,NA,NA,NA,NA,NA
0.05743195294137734,0.03213775774508072,dummy-0zjtcj7k,NA,NA,NA,NA,NA,NA,NA,NA
0.08177716958616203,0.0207899926606799,dummy-0zlho6f8,NA,NA,NA,NA,NA,NA,NA,NA
0.03272946575135326,0.04700683198827064,dummy-0zyht5qg,NA,NA,NA,NA,NA,NA,NA,NA
0.03474605827059639,0.01712711976146427,dummy-10asikxg,NA,NA,NA,NA,NA,NA,NA,NA
0.04970084768408133,0.06123104343380579,dummy-10l7v8oc,NA,NA,NA,NA,NA,NA,NA,NA
0.01293377670601457,0.02657531068396495,dummy-10lqq9i9,NA,NA,NA,NA,NA,NA,NA,NA
0.5391318982382671,0.10314619598281022,dummy-10lrxax5,NA,NA,NA,NA,NA,NA,NA,NA
0.09954292873319288,0.03349143534775137,dummy-10zcrzg1,NA,NA,NA,NA,NA,NA,NA,NA
0.01271925912931007,0.02990411148647493,dummy-11knlz1g,NA,NA,NA,NA,NA,NA,NA,NA
0.01106983225768482,0.01443518564171912,dummy-11p5dqdr,NA,NA,NA,NA,NA,NA,NA,NA
0.13861307430697614,0.05714773079747274,dummy-1215j925,NA,NA,NA,NA,NA,NA,NA,NA
0.05260236928391089,0.0143382690048381,dummy-126w5hkm,NA,NA,NA,NA,NA,NA,NA,NA
0.0388650140550527,0.0559477915527657,dummy-12kl65lb,NA,NA,NA,NA,NA,NA,NA,NA
