index,variable,var_fqn,var_index,sample_size,mean,var,sd,rhat,ess_bulk,ess_tail,mcse_mean,mcse_sd,q_0.05,q_0.5,q_0.95,hdi_low,hdi_high,y,pdf
643,prob,prob[41],"(41,)",2000,0.00011941975270210966,9.030119959829064e-09,9.502694333624051e-05,1.0012065921508588,940.3697573335373,734.5022564993269,2.5791244024067734e-06,3.5037559391700073e-06,1.6150904650374342e-05,9.552065101870217e-05,0.000307102084444634,2.22859820463637e-06,0.00023635127733573062,-3.633333333333333,0.00011941975270210966
644,prob,prob[42],"(42,)",2000,0.00012867936385594863,1.1024067166459734e-08,0.00010499555784155696,1.0011559295667174,923.9512369787878,777.5025914389626,2.866961227858326e-06,4.0220939467661174e-06,1.685834260505822e-05,0.00010192363312626324,0.00033563958660682636,8.698742326501632e-07,0.0002552615275944092,-3.6,0.00012867936385594863
645,prob,prob[43],"(43,)",2000,0.000138646476309909,1.3405168757646325e-08,0.00011578069250806166,1.001127738164114,909.6517817513718,738.3647026588809,3.176919946725049e-06,4.607790004935388e-06,1.740920724665831e-05,0.00010802971326486895,0.0003665644764263188,2.588169281528428e-06,0.00027848402417515576,-3.566666666666667,0.000138646476309909
646,prob,prob[44],"(44,)",2000,0.00014936962544538204,1.623315047230412e-08,0.0001274093814140235,1.001113391790636,895.1355323017842,698.9362236345949,3.48588083118156e-06,5.272240783258431e-06,1.7943955292602077e-05,0.00011501278251278264,0.00039900385997534635,2.3315130069303005e-06,0.0003018295224784506,-3.533333333333333,0.00014936962544538204
647,prob,prob[45],"(45,)",2000,0.00016090241209227454,1.957330167165946e-08,0.0001399046163343421,1.001069831085543,880.058479880197,684.27429814878,3.8123716846480513e-06,6.030513611098529e-06,1.909318216220277e-05,0.00012376064579618578,0.0004356898038284489,2.2146490599278083e-06,0.0003298749738313689,-3.5,0.00016090241209227454
648,prob,prob[46],"(46,)",2000,0.00017329902070347972,2.3496377013763275e-08,0.00015328527983392038,1.0010462083392306,861.9827320381817,704.8559554649728,4.1606698914619785e-06,6.902553838941125e-06,1.997308669612241e-05,0.00013290444499176386,0.00047082480069933605,2.165512785850143e-06,0.00035499666228402054,-3.466666666666667,0.00017329902070347972
649,prob,prob[47],"(47,)",2000,0.00018662756231163337,2.808415179441927e-08,0.00016758326824125154,1.001072048467027,842.4081482683242,708.2443128226672,4.532453085746835e-06,7.916146652723484e-06,2.1473525761839263e-05,0.00014075643533096251,0.0005099745409578303,2.1111890497508322e-06,0.00038208393058730174,-3.433333333333333,0.00018662756231163337
650,prob,prob[48],"(48,)",2000,0.00020095341255742905,3.3432272775766016e-08,0.00018284494189275792,1.0010468109683333,827.8508298594807,687.8062151107823,4.930050644279333e-06,9.10849445934604e-06,2.2790126570804636e-05,0.00015121211698051622,0.0005511369350718869,2.051714400815513e-06,0.0004104078780993712,-3.4,0.00020095341255742905
651,prob,prob[49],"(49,)",2000,0.00021635423212486177,3.965930912108571e-08,0.00019914645143985295,1.0010567604227993,815.1845368248735,713.6441227465758,5.3567931743247195e-06,1.0530438905232234e-05,2.4147106125910778e-05,0.0001613915279828067,0.0005974355240984943,1.0813810371296196e-06,0.00044530994574792216,-3.3666666666666667,0.00021635423212486177
652,prob,prob[50],"(50,)",2000,0.00023291630214161672,4.6919452450487746e-08,0.00021660898515640515,1.0010773841564138,803.3319451648774,713.1665305423835,5.817194261776649e-06,1.2250444660134447e-05,2.5406837579421344e-05,0.0001728210223912522,0.0006449631536225072,1.6968486264868542e-06,0.00048095181523307584,-3.3333333333333335,0.00023291630214161672
653,prob,prob[51],"(51,)",2000,0.00025081041660479457,5.5445370416856475e-08,0.00023546840640913268,1.0011166717724496,791.1976412508748,707.4641497712685,6.318200995862337e-06,1.4319667283918641e-05,2.6948421555876192e-05,0.00018536772757194505,0.000690409336763118,1.8487649495093357e-06,0.0005192547691516854,-3.3,0.00025081041660479457
654,prob,prob[52],"(52,)",2000,0.000270284114346368,6.553481842776838e-08,0.0002559976922313332,1.0011287658964005,783.8561126864907,686.7100525653526,6.8662786366373625e-06,1.671198710238603e-05,2.8245454704571557e-05,0.00019920109817299012,0.0007470581994353888,1.7125061747251975e-06,0.0005634329765615186,-3.2666666666666666,0.000270284114346368
655,prob,prob[53],"(53,)",2000,0.0002915169019222752,7.749448361423769e-08,0.0002783783102438796,1.0011482290094393,775.6162499446132,667.988040850307,7.4669988442464394e-06,1.9435642124227044e-05,2.993874269998583e-05,0.00021407707786978632,0.0008146056862261717,1.9826068759349354e-06,0.0006070885078259565,-3.2333333333333334,0.0002915169019222752
656,prob,prob[54],"(54,)",2000,0.0003146963837564247,9.167837974509071e-08,0.0003027843783042492,1.001189586864581,767.2315524731871,636.643667967444,8.148002606012471e-06,2.2488559020238444e-05,3.118874189241591e-05,0.00023071048272798046,0.0008765779300244965,2.14967048607904e-06,0.000660960503987417,-3.1999999999999997,0.0003146963837564247
657,prob,prob[55],"(55,)",2000,0.00034004927872856435,1.0850394434137952e-07,0.00032939936906645635,1.001254607548056,758.4553329299631,658.4380823838462,8.893068554411584e-06,2.5855225346618938e-05,3.411073261365492e-05,0.0002488330507882462,0.0009464491848153905,2.379929354545656e-06,0.0007138447024629161,-3.1666666666666665,0.00034004927872856435
658,prob,prob[56],"(56,)",2000,0.0003677959772941704,1.2844435537377105e-07,0.0003583913438878945,1.0012986273345563,751.341468019716,658.3128107838539,9.706022384715175e-06,2.95062002371294e-05,3.7290717974182776e-05,0.00026878580321600245,0.0010288340122911479,2.6214660345706085e-06,0.0007707556811429191,-3.1333333333333333,0.0003677959772941704
