xnum,bias,var,mse,ci_coverage,ci_width,parameter,data_type,data_seed,model,ntrain,ntest,job,run,mcmc_strategy,apply_jitter,ig_a,ig_b
1,-6.328271240363393e-17,0.03593116723212009,0.06305360532028367,1,0.599207590825835,loc,gaussian,4,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103000,iwls-nuts,FALSE,0.01,0.01
2,3.819167204710539e-17,0.09280354186542314,0.1453510539918505,0.92800003,0.9522027041867722,loc,gaussian,4,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103000,iwls-nuts,FALSE,0.01,0.01
3,8.770761894538737e-18,0.05047144000282613,0.06027835429459852,1,0.7251848131143103,loc,gaussian,4,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103000,iwls-nuts,FALSE,0.01,0.01
0,-3.7747582837255325e-18,0.02216210022351567,0.03858023134100476,0.92200005,0.4739827268585098,scale,gaussian,4,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103000,iwls-nuts,FALSE,0.01,0.01
1,-1.1379786002407855e-17,0.02194200226655954,0.03331205096865848,1,0.4773265658219517,scale,gaussian,4,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103000,iwls-nuts,FALSE,0.01,0.01
2,4.7739590058881735e-18,0.02590213232115512,0.0340376580832665,1,0.5130648193635242,scale,gaussian,4,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103000,iwls-nuts,FALSE,0.01,0.01
3,-9.853229343548263e-19,0.02246739008886005,0.02710534132885432,1,0.4814125350871684,scale,gaussian,4,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103000,iwls-nuts,FALSE,0.01,0.01
0,-3.0087043967341744e-17,0.01489359697565308,0.018378744333583,1,0.39036869553231807,loc,gaussian,4,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103341,iwls-nuts,FALSE,1,0.005
1,-6.540601393822954e-17,0.01624114042387741,0.02438204805542576,1,0.40560801935283974,loc,gaussian,4,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103341,iwls-nuts,FALSE,1,0.005
2,4.307665335545607e-17,0.04204992256575801,0.07162491788315019,0.92,0.6520336227034017,loc,gaussian,4,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103341,iwls-nuts,FALSE,1,0.005
3,5.218048215738236e-18,0.03019601542468793,0.04006918030336086,1,0.5543412889406939,loc,gaussian,4,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103341,iwls-nuts,FALSE,1,0.005
0,-3.996802888650564e-18,0.00801407451350268,0.00894305380326305,1,0.2872503132335381,scale,gaussian,4,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103341,iwls-nuts,FALSE,1,0.005
1,-9.658940314238863e-18,0.00767937499573997,0.01146500065646108,1,0.28404098995540644,scale,gaussian,4,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103341,iwls-nuts,FALSE,1,0.005
2,4.3298697960381105e-18,0.01001353258287844,0.0188781215891104,0.91,0.32248715828709645,scale,gaussian,4,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103341,iwls-nuts,FALSE,1,0.005
3,-5.273559366969492e-19,0.00874837727359597,0.01449267409810934,0.94600004,0.3024789217636973,scale,gaussian,4,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103341,iwls-nuts,FALSE,1,0.005
0,2.861599845971341e-17,0.0310538289744204,0.04164314626627703,1,0.5710998522185482,loc,gaussian,5,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103714,iwls-nuts,FALSE,0.01,0.01
1,2.2776225350185085e-16,0.04122157197574297,0.05389617170394909,0.99000007,0.6348262286582608,loc,gaussian,5,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103714,iwls-nuts,FALSE,0.01,0.01
2,-1.0302869668521452e-16,0.07482335490521472,0.1417621241879354,0.89400005,0.8802479374960637,loc,gaussian,5,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103714,iwls-nuts,FALSE,0.01,0.01
3,3.7303493627405256e-17,0.06843377386861359,0.13202164075100117,0.874,0.8268081641162981,loc,gaussian,5,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103714,iwls-nuts,FALSE,0.01,0.01
0,1.1657341758564142e-18,0.02323836348371841,0.03147778945390674,1,0.49060210193815385,scale,gaussian,5,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103714,iwls-nuts,FALSE,0.01,0.01
1,-7.549516567451065e-18,0.02287461138867733,0.05472753255451952,0.86800003,0.4910799113064962,scale,gaussian,5,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103714,iwls-nuts,FALSE,0.01,0.01
2,6.10622663543836e-18,0.02240517350029707,0.03509509416233816,1,0.4785215812788165,scale,gaussian,5,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103714,iwls-nuts,FALSE,0.01,0.01
3,-1.6653345369377347e-17,0.02158048852169362,0.03791609859815178,0.91200006,0.47334495754742434,scale,gaussian,5,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103714,iwls-nuts,FALSE,0.01,0.01
0,2.9365399001335386e-17,0.01535487997062635,0.0193438693263208,1,0.40047992086741857,loc,gaussian,5,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104204,iwls-nuts,FALSE,0.01,0.01
1,2.2759572004815707e-16,0.01850804474015543,0.02619510162214611,1,0.4322632398470929,loc,gaussian,5,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104204,iwls-nuts,FALSE,0.01,0.01
2,-1.0097478408965797e-16,0.0399855332555519,0.0974857162803264,0.84400004,0.6367820859490283,loc,gaussian,5,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104204,iwls-nuts,FALSE,0.01,0.01
3,4.1078251911130785e-17,0.03523724521020872,0.07741596816479716,0.814,0.5939471249714422,loc,gaussian,5,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104204,iwls-nuts,FALSE,0.01,0.01
0,1.8873791418627663e-18,0.00982475631886244,0.01430839905645104,0.96400005,0.3217176138687654,scale,gaussian,5,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104204,iwls-nuts,FALSE,0.01,0.01
1,-8.881784197001253e-18,0.01010529159371009,0.01718090077999015,0.97200006,0.32557991108521406,scale,gaussian,5,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104204,iwls-nuts,FALSE,0.01,0.01
2,7.105427357601002e-18,0.0103745241504906,0.0215138561750613,0.8,0.3272511948836054,scale,gaussian,5,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104204,iwls-nuts,FALSE,0.01,0.01
3,-1.7985612998927533e-17,0.00991411383594914,0.02488435673558072,0.85,0.32250787190846497,scale,gaussian,5,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104204,iwls-nuts,FALSE,0.01,0.01
0,-9.769962616701375e-18,0.0340293438465964,0.04976697374130793,1,0.5842389671145185,loc,gaussian,6,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104003,iwls-nuts,FALSE,0.01,0.01
1,-7.216449660063518e-17,0.04173481208972724,0.0757830884072494,0.94400007,0.6523638744883128,loc,gaussian,6,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104003,iwls-nuts,FALSE,0.01,0.01
2,-7.72715225139109e-17,0.07327335433154465,0.16754140705673273,0.83800006,0.8622516858975807,loc,gaussian,6,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104003,iwls-nuts,FALSE,0.01,0.01
3,-8.415490526658687e-17,0.0569893729858913,0.09803047678658935,0.9620001,0.7696504516303863,loc,gaussian,6,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104003,iwls-nuts,FALSE,0.01,0.01
0,-4.662936703425658e-18,0.02322649809700555,0.03886114260683214,1,0.4907491343593852,scale,gaussian,6,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104003,iwls-nuts,FALSE,0.01,0.01
1,-1.5210055437364646e-17,0.02380423276920201,0.03080427393111017,1,0.4982358609486669,scale,gaussian,6,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104003,iwls-nuts,FALSE,0.01,0.01
2,1.4876988529977102e-17,0.02399881139982316,0.04681315167997835,0.90800005,0.500711053474831,scale,gaussian,6,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104003,iwls-nuts,FALSE,0.01,0.01
3,-4.4408920985006255e-18,0.02442605354375048,0.0616819613326547,0.84200007,0.4933747096020702,scale,gaussian,6,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104003,iwls-nuts,FALSE,0.01,0.01
0,-7.993605777301128e-18,0.01704508630842966,0.03030133322386044,1,0.4230383583124914,loc,gaussian,6,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104541,iwls-nuts,FALSE,0.01,0.01
1,-7.083222897108499e-17,0.02229219516691975,0.04431358670961143,0.92600006,0.475261969695584,loc,gaussian,6,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104541,iwls-nuts,FALSE,0.01,0.01
2,-7.926992395823616e-17,0.0369704376981703,0.05591212671066133,0.97200006,0.6174120902048496,loc,gaussian,6,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104541,iwls-nuts,FALSE,0.01,0.01
3,-8.35165270274274e-17,0.03210963047918194,0.0596597052066584,0.94200003,0.5769082658713243,loc,gaussian,6,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104541,iwls-nuts,FALSE,0.01,0.01
0,-4.218847493575595e-18,0.00932824500592363,0.01291997463635188,1,0.3116329180480024,scale,gaussian,6,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104541,iwls-nuts,FALSE,0.01,0.01
1,-1.4710455076283322e-17,0.01035646287613034,0.02195048642870043,0.882,0.32814979339164324,scale,gaussian,6,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104541,iwls-nuts,FALSE,0.01,0.01
2,1.5931700403370995e-17,0.01094346334976186,0.01457449918968869,1,0.3398882871368087,scale,gaussian,6,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104541,iwls-nuts,FALSE,0.01,0.01
3,-1.3322676295501879e-18,0.01047183285085979,0.03113073183113018,0.75200003,0.32437187693100933,scale,gaussian,6,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104541,iwls-nuts,FALSE,0.01,0.01
0,2.4868995751603507e-17,0.02752132511185542,0.05534813668082419,1,0.5254418492481596,loc,gaussian,7,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104118,iwls-nuts,FALSE,1,0.005
1,7.993605777301127e-17,0.0320273167597071,0.05049341900777836,0.99600005,0.5491631048420789,loc,gaussian,7,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104118,iwls-nuts,FALSE,1,0.005
2,3.375077994860476e-17,0.07226278403043132,0.18870568215096128,0.81200004,0.8403183336899537,loc,gaussian,7,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104118,iwls-nuts,FALSE,1,0.005
3,1.9051427102567686e-16,0.04517226268319058,0.0990388859117578,0.91400003,0.6864073942611957,loc,gaussian,7,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104118,iwls-nuts,FALSE,1,0.005
0,-5.10702591327572e-18,0.01746110821254306,0.04059271368228966,0.818,0.4212738350738057,scale,gaussian,7,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104118,iwls-nuts,FALSE,1,0.005
1,-1.77635683940025e-18,0.01527754240532327,0.0290493213595299,1,0.40165901447257696,scale,gaussian,7,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104118,iwls-nuts,FALSE,1,0.005
2,-1.0547118733938987e-17,0.01934729612873898,0.02737151468020196,1,0.4480099929383663,scale,gaussian,7,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104118,iwls-nuts,FALSE,1,0.005
3,-2.964295475749168e-17,0.01667450772422855,0.02381761537772066,1,0.4155329535488488,scale,gaussian,7,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104118,iwls-nuts,FALSE,1,0.005
0,2.442490654175344e-17,0.01856554483943078,0.03803470611585673,0.89400005,0.4334427124390087,loc,gaussian,7,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104832,iwls-nuts,FALSE,0.01,0.01
1,7.971401316808624e-17,0.02047944304791915,0.04573761898575172,0.938,0.4451543656848285,loc,gaussian,7,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104832,iwls-nuts,FALSE,0.01,0.01
2,3.9523939676655565e-17,0.03763666352383681,0.0885871645578314,0.92,0.61274933952225,loc,gaussian,7,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104832,iwls-nuts,FALSE,0.01,0.01
3,1.8984813721090174e-16,0.02844528876964841,0.07397830549029288,0.818,0.5419726825023135,loc,gaussian,7,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104832,iwls-nuts,FALSE,0.01,0.01
0,-3.441691376337985e-18,0.0112074013129526,0.0283343255086866,0.776,0.34269815559751526,scale,gaussian,7,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104832,iwls-nuts,FALSE,0.01,0.01
1,4.996003610813205e-19,0.00926009090206759,0.01098138481773153,1,0.31239082330576684,scale,gaussian,7,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104832,iwls-nuts,FALSE,0.01,0.01
2,-7.93809462606987e-18,0.01153412281080261,0.02011007057305196,0.90800005,0.34544696363864724,scale,gaussian,7,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104832,iwls-nuts,FALSE,0.01,0.01
3,-2.90878432451791e-17,0.01079177584963497,0.02059318620188733,0.91,0.3372843499965292,scale,gaussian,7,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-104832,iwls-nuts,FALSE,0.01,0.01
0,4.618527782440651e-17,0.03524571077934527,0.07338537490937154,0.86,0.5892839941350866,loc,gaussian,8,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-105024,iwls-nuts,FALSE,1,0.005
