variable,ess_bulk_min,ess_bulk_median,ess_tail_min,ess_tail_median,rhat_max,rhat_median,ess_bulk_min_per_minute,ess_tail_min_per_minute,ess_bulk_median_per_minute,ess_tail_median_per_minute,data_type,data_seed,model,ntrain,ntest,job,run,acceptance_prob,position_moved,kernel,mcmc_strategy,apply_jitter
g(x0)_variance,4675.830852638108,4675.830852638108,7296.906433212524,7296.906433212524,1.0002193395582546,1.0002193395582546,963.3398386860288,1503.3479370435316,963.3398386860288,1503.3479370435316,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
g(x1)_coef,13412.423960585738,15583.681434312954,14024.832910414045,16325.234684382332,1.000383247439156,1.0000884006117312,2763.2997731920536,2889.4715611652277,3210.6339241496516,3363.412715943604,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
g(x1)_variance,8359.302684063256,8359.302684063256,10506.149262311948,10506.149262311948,1.0005758002504594,1.0005758002504594,1722.2285307112336,2164.5334175971434,1722.2285307112336,2164.5334175971434,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
g(x2)_coef,9243.715539077017,15848.73986163299,12686.399369706438,14553.111317053428,1.000526785252136,1.0001639921253775,1904.4400272199473,2613.720279343351,3265.2426879531567,2998.310321820175,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
g(x2)_variance,5931.850547579582,5931.850547579582,10266.914438103538,10266.914438103538,1.00015726147716,1.00015726147716,1222.1117764323922,2115.2449714954246,1222.1117764323922,2115.2449714954246,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
g(x3)_coef,11915.25388427849,17132.920464618805,11096.97998360091,16642.234634537235,1.0003301526126231,1.0001085587058685,2454.84473594843,2286.2595427875217,3529.816487543471,3428.722751843087,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
g(x3)_variance,8031.273962808382,8031.273962808382,9325.855704275868,9325.855704275868,1.000354758029397,1.000354758029397,1654.6462880302852,1921.362986151976,1654.6462880302852,1921.362986151976,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
loc_intercept,15737.837453368104,15737.837453368104,18298.40483506231,18298.40483506231,0.9999673697413992,0.9999673697413992,3242.393976899482,3769.935850454272,3242.393976899482,3769.935850454272,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
s(x0)_coef,14379.31825630133,17461.306056525074,15611.594479912172,17184.18547545519,1.0003553327435672,1.0000738570880805,2962.504540048745,3216.384720038604,3597.472254636782,3540.378380996374,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
s(x0)_variance,9287.735415145948,9287.735415145948,12501.712640277728,12501.712640277728,0.9999295441968786,0.9999295441968786,1913.5092390130344,2575.6701253188694,1913.5092390130344,2575.6701253188694,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
s(x1)_coef,12215.352134299186,16698.86250298651,12561.8842261791,16725.939316653734,1.0004468498871166,1.0002162356096098,2516.6725926173226,2588.066999303951,3440.389530085563,3445.968040971088,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
s(x1)_variance,7773.286283552808,7773.286283552808,11779.86719907387,11779.86719907387,1.0004664089877,1.0004664089877,1601.494277799456,2426.9516423794717,1601.494277799456,2426.9516423794717,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
s(x2)_coef,15526.190214493228,16637.364790471667,17240.113921914148,18561.885622330792,1.0003495754601028,1.0001194138578422,3198.7892736110743,3551.901060555951,3427.719440358048,3824.2195803631257,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
s(x2)_variance,18194.324251282866,18194.324251282866,19007.552932533315,19007.552932533315,0.9999737567217932,0.9999737567217932,3748.4926083977575,3916.0383582977265,3748.4926083977575,3916.0383582977265,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
s(x3)_coef,15249.836127749542,17020.155918683806,17943.218200933734,18699.98567057743,1.0004650595863682,1.0001245204824725,3141.8533172572033,3696.7583883927855,3506.5841288645347,3852.67169558996,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
