waic,kld,log_score,cdf_mad,crps,cdf_ci_coverage,cdf_ci_width,data_type,data_seed,model,ntrain,ntest,fit_seconds,run,job,kld_manual,log_score_manual,bootstrap_seconds,mcmc_strategy,apply_jitter
5954666.628655448,694.0832317189527,3478729.3987648995,0.4822648648840417,13411842880541525e70,0.117,0.11844406706905893,ptm,22,ptm-iwls-nuts,250,5000,388.1394553184509,20250906-013739,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
8441053.894012187,710.4828095218188,3560727.287779229,0.5000867281806203,18722898744989109e71,0.027,0.02681266377199899,ptm,22,ptm-iwls-nuts,500,5000,7542.196081161499,20250906-101358,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
7126545.664264007,737.8064703845537,3696936.420053987,0.5015059151117336,26729125501835197e51,0.0056,0.0056069712863636,ptm,23,ptm-iwls-nuts,1000,5000,783.2524631023407,20250906-054339,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
44714448.863357835,99.56432745480689,505725.7054052539,0.5004357544507877,946275781245272e46,0.9958,0.995705746548065,ptm,23,ptm-iwls-nuts,250,5000,4220.652502536774,20250906-101621,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
11473566.245349929,677.5250592858818,3395529.3645606283,0.5014400495548522,5730161384346865e49,0.0396,0.03971057124783479,ptm,23,ptm-iwls-nuts,500,5000,7959.486806631088,20250906-053108,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
10276583.90796177,730.3284713056216,3659472.1384799774,0.4954096995755857,14150529167914138e68,0.0118,0.01172260207597788,ptm,24,ptm-iwls-nuts,1000,5000,780.2293720245361,20250906-044355,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
48725955.85523167,100.92873644609205,512473.4641823298,0.49822859205762887,2570214951552858e72,0.983,0.982958555468722,ptm,24,ptm-iwls-nuts,250,5000,4293.579827785492,20250906-020559,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
92376258.73258442,108.30579751224076,549358.7695130734,0.49724671023049466,9014842828794409e69,0.9978,0.9977393405006586,ptm,24,ptm-iwls-nuts,500,5000,502.48019337654114,20250905-231819,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
22052704.310915604,680.7519645387993,3412005.9341817372,0.4863689040314154,8122680413445314e62,0.102,0.10397814408247388,ptm,25,ptm-iwls-nuts,1000,5000,14116.88782119751,20250906-104904,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
41114082.69145201,115.99762003868162,588234.211681148,0.5029456802303747,23602878084149854e52,0.98,0.9800437839982548,ptm,25,ptm-iwls-nuts,250,5000,4524.088179826736,20250906-004910,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
89565477.09177458,117.78866915730684,597189.4572742743,0.5026662566359478,2492272557948701e56,0.9878,0.9877390793421452,ptm,25,ptm-iwls-nuts,500,5000,7581.427791833878,20250906-020156,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
192742758.08442885,70.49638287457176,360185.09336530755,0.5010636217134675,36367056472074782e65,0.9974,0.9976383642349612,ptm,26,ptm-iwls-nuts,1000,5000,14110.337258577349,20250906-044747,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
29038937.38452639,98.62137201702878,500810.03907759255,0.502077062115681,63732692400422486e65,0.0302,0.0302521853775075,ptm,26,ptm-iwls-nuts,250,5000,4694.17870926857,20250906-020106,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
91245275.51885806,92.80899654652968,471748.16172509704,0.5009569808976501,5330563162756769e69,0.9986,0.9985385829330006,ptm,26,ptm-iwls-nuts,500,5000,694.3523597717285,20250906-054838,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
232580413.1600468,112.29079340769734,569433.4146909557,0.4999872605636282,7735192490214988e61,1,0.9999607675543682,ptm,27,ptm-iwls-nuts,1000,5000,777.7095377445221,20250906-060718,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
37704941.790343106,208.9194394715932,1052576.6450104346,0.5020966675709772,44065140743536724e58,0.9934,0.9933695855478498,ptm,27,ptm-iwls-nuts,250,5000,368.7076888084411,20250906-023112,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
90685612.94811615,111.87365316879756,567347.7134964566,0.5024163264483601,237312929477157e63,0.9954,0.9953390405531408,ptm,27,ptm-iwls-nuts,500,5000,492.0476818084717,20250906-015748,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
178110161.8753111,103.39024846640996,525076.0836975147,0.503954648050195,260511831349384e76,0.9992,0.9995623530339066,ptm,28,ptm-iwls-nuts,1000,5000,789.838404417038,20250906-025418,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
831.540839517549,0.12530706474482045,8587.995949257003,0.11422053663802242,0.820886658439322,0.9302,0.338532734344158,ptm,28,ptm-iwls-nuts,250,5000,606.2226688861847,20250831-102447,009-ptm-jitter,NA,NA,NA,iwls-nuts,NA
92473828.40590352,100.25117126925949,509380.6977117625,0.5039122078394949,9081734826224961e69,0.9982,0.9985379045880678,ptm,28,ptm-iwls-nuts,500,5000,7613.836413860321,20250906-042749,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
266245934.8159814,36.47564564409594,190365.70800500168,0.4411402758266309,37617794769002116e84,0.9986,0.9984074193381298,ptm,29,ptm-iwls-nuts,1000,5000,1078.2625885009766,20250906-042955,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
46785862.06451875,52.6734290185741,271354.62487739243,0.4991910522315556,7888795766572795e79,0.9998,0.9997626883914532,ptm,29,ptm-iwls-nuts,250,5000,497.95893812179565,20250906-035843,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
7721003.2536761,725.5751885710627,3635863.422639834,0.5054640926887081,6815709385935205e84,0.0142,0.01421411145057202,ptm,29,ptm-iwls-nuts,500,5000,692.301210641861,20250906-064146,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
260395225.1388924,1.6079716013900818,15214.26388466577,0.4032040661739665,22230397518150996e36,0.9998,0.9978673413728132,ptm,30,ptm-iwls-nuts,1000,5000,14109.005048513412,20250906-083121,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
46222801.98527151,117.5033906603577,594691.3591795038,0.5006660658651224,3202871760415877e35,0.9698,0.969742515519084,ptm,30,ptm-iwls-nuts,250,5000,607.7134032249451,20250906-043952,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
137745796.19018573,1.5428769826968023,14888.790791199372,0.4065073597946657,30535876511336894e38,0.8422,0.624292328544111,ptm,30,ptm-iwls-nuts,500,5000,7743.635674476624,20250906-072146,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
288296618.20379585,1.4482536079539727,15339.135282079864,0.3913918205105365,14025754955021708e43,0.949,0.5693660534078901,ptm,31,ptm-iwls-nuts,1000,5000,1852.7804353237152,20250906-092557,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
