xnum,bias,var,mse,ci_coverage,ci_width,parameter,data_type,data_seed,model,ntrain,ntest,run,job,mcmc_strategy,apply_jitter
3,2.9614292969560215e-17,0.04265949538579652,0.09642812281662703,0.775,0.6525187929321092,loc,gaussian,5,ddpstar,500,1000,20250815-073502,001-ddpstar,NA,NA
0,7.094614180171443e-18,0.00335070050215723,0.0077009576633745,1,0.1840929594644255,scale,gaussian,5,ddpstar,500,1000,20250815-073502,001-ddpstar,NA,NA
1,6.424427595088051e-18,0.003546497877647,0.0135270120397755,0.497,0.1780710212914028,scale,gaussian,5,ddpstar,500,1000,20250815-073502,001-ddpstar,NA,NA
2,-8.217323667579028e-19,0.00437888590192773,0.03273756242734651,0.472,0.21053828054535503,scale,gaussian,5,ddpstar,500,1000,20250815-073502,001-ddpstar,NA,NA
3,1.544066523945231e-20,0.00314979396720847,0.03106581195293433,0.244,0.16587876169650276,scale,gaussian,5,ddpstar,500,1000,20250815-073502,001-ddpstar,NA,NA
0,2.9901398958669324e-17,0.00688300956128832,0.01284450841883898,1,0.25854622139655875,loc,gaussian,6,ddpstar,1000,1000,20250815-080547,001-ddpstar,NA,NA
1,6.038684183049213e-17,0.01100216550912617,0.01748359171423449,0.939,0.3313697816141554,loc,gaussian,6,ddpstar,1000,1000,20250815-080547,001-ddpstar,NA,NA
2,2.1456385297686827e-17,0.02418148626891297,0.04206706610788375,0.927,0.49114117180484546,loc,gaussian,6,ddpstar,1000,1000,20250815-080547,001-ddpstar,NA,NA
3,-5.45117797924281e-17,0.0188377177691948,0.03122321082048109,0.938,0.44025475631658606,loc,gaussian,6,ddpstar,1000,1000,20250815-080547,001-ddpstar,NA,NA
0,-7.584343264460554e-18,0.00149945776868558,0.00737292259123868,0.478,0.12065675038850374,scale,gaussian,6,ddpstar,1000,1000,20250815-080547,001-ddpstar,NA,NA
1,-7.021246620794139e-18,0.00252129548571855,0.00309260400098131,1,0.15937182729583632,scale,gaussian,6,ddpstar,1000,1000,20250815-080547,001-ddpstar,NA,NA
2,3.833229758638579e-18,0.00463919824727345,0.02143216370848242,0.65,0.21614606027837097,scale,gaussian,6,ddpstar,1000,1000,20250815-080547,001-ddpstar,NA,NA
3,-1.3002431343706507e-17,0.00446900102954776,0.01947854173980826,0.464,0.2046294957001532,scale,gaussian,6,ddpstar,1000,1000,20250815-080547,001-ddpstar,NA,NA
0,1.3473130759927147e-17,0.02333085243649774,0.04406938287667564,0.975,0.4719522232187754,loc,gaussian,6,ddpstar,250,1000,20250815-080401,001-ddpstar,NA,NA
1,6.897813465521717e-17,0.05400369509534819,0.1175340653574422,0.836,0.7296222024344251,loc,gaussian,6,ddpstar,250,1000,20250815-080401,001-ddpstar,NA,NA
2,-1.7469324959408046e-19,0.10500738240153934,0.19069586202142155,0.945,1.032821244022572,loc,gaussian,6,ddpstar,250,1000,20250815-080401,001-ddpstar,NA,NA
3,-5.140204921138629e-17,0.08367144621654571,0.1162131511887132,1,0.9158961166408958,loc,gaussian,6,ddpstar,250,1000,20250815-080401,001-ddpstar,NA,NA
0,-4.158307180217082e-18,9.512767024169784e-32,0.01328452678702491,0,9.49779144221452e-16,scale,gaussian,6,ddpstar,250,1000,20250815-080401,001-ddpstar,NA,NA
1,-4.530226382105466e-18,1.6689426669044961e-31,0.02142486750167431,0,1.192621001955274e-15,scale,gaussian,6,ddpstar,250,1000,20250815-080401,001-ddpstar,NA,NA
2,9.693076329289387e-18,1.9337542116961155e-31,0.0856145679091019,0,1.2376821789672474e-15,scale,gaussian,6,ddpstar,250,1000,20250815-080401,001-ddpstar,NA,NA
3,-1.6405222088196795e-17,2.6136697488017395e-32,0.05026035647250942,0,4.021033506163006e-16,scale,gaussian,6,ddpstar,250,1000,20250815-080401,001-ddpstar,NA,NA
0,1.8209910756667355e-17,0.01251266003226754,0.0141530301693075,1,0.3470617022562493,loc,gaussian,6,ddpstar,500,1000,20250815-080251,001-ddpstar,NA,NA
1,4.111179007903337e-17,0.02093898503351998,0.04093565424759142,0.866,0.45255971581090376,loc,gaussian,6,ddpstar,500,1000,20250815-080251,001-ddpstar,NA,NA
2,2.3507003048016278e-17,0.04653481019543348,0.07259811082940475,1,0.6849414222684078,loc,gaussian,6,ddpstar,500,1000,20250815-080251,001-ddpstar,NA,NA
3,-5.523675136175019e-17,0.03877366944806081,0.05856207672090009,1,0.6148809485181069,loc,gaussian,6,ddpstar,500,1000,20250815-080251,001-ddpstar,NA,NA
0,-4.8482895577290725e-18,0.00262682215398479,0.0084156052910543,0.694,0.15190415182977823,scale,gaussian,6,ddpstar,500,1000,20250815-080251,001-ddpstar,NA,NA
