index,variable,kernel,error_code,error_msg,phase,count,relative,run,model
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,31,0.00155,dummy-039rf2mi,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,0,0,dummy-039rf2mi,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,62,0.0031,dummy-039rf2mi,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-039rf2mi,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-039rf2mi,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-039rf2mi,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,58,0.0029,dummy-04cqy158,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,23,5.75e-4,dummy-04cqy158,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,3,1.5e-4,dummy-04cqy158,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-04cqy158,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,58,0.0029,dummy-04cqy158,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,23,5.75e-4,dummy-04cqy158,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,3,1.5e-4,dummy-04cqy158,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-04cqy158,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-04cqy158,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-04cqy158,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,54,0.0027,dummy-04n0h8tt,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,2411,0.060275,dummy-04n0h8tt,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,16,7.9999999999999e-4,dummy-04n0h8tt,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-04n0h8tt,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,54,0.0027,dummy-04n0h8tt,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,2411,0.060275,dummy-04n0h8tt,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,16,7.9999999999999e-4,dummy-04n0h8tt,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-04n0h8tt,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-04n0h8tt,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-04n0h8tt,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,67,0.00334999999999999,dummy-04yy0h1i,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,9,2.25e-4,dummy-04yy0h1i,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,10,5e-4,dummy-04yy0h1i,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-04yy0h1i,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,67,0.00334999999999999,dummy-04yy0h1i,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,9,2.25e-4,dummy-04yy0h1i,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,10,5e-4,dummy-04yy0h1i,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-04yy0h1i,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-04yy0h1i,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-04yy0h1i,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,70,0.0035,dummy-04z20c4v,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,6,1.5e-4,dummy-04z20c4v,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,11,5.4999999999999e-4,dummy-04z20c4v,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-04z20c4v,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,70,0.0035,dummy-04z20c4v,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,6,1.5e-4,dummy-04z20c4v,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,11,5.4999999999999e-4,dummy-04z20c4v,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-04z20c4v,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-04z20c4v,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-04z20c4v,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,30,0.0015,dummy-05a1q8pz,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,0,0,dummy-05a1q8pz,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,68,0.0034,dummy-05a1q8pz,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-05a1q8pz,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,30,0.0015,dummy-05a1q8pz,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,0,0,dummy-05a1q8pz,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,68,0.0034,dummy-05a1q8pz,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-05a1q8pz,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-05a1q8pz,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-05a1q8pz,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,76,0.0038,dummy-05ewvsh0,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,23,5.75e-4,dummy-05ewvsh0,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,76,0.0038,dummy-05ewvsh0,ptm
