kld_test,mad_test,run,in_hdi_cdf,in_hdi_prob,in_ci_cdf,in_ci_prob,width_hdi_cdf,width_hdi_prob,width_ci_cdf,width_ci_prob,model
0.00769988573719923,0.01698490165072081,dummy-kdp36hg5,0.8786666666666667,0.992,0.9726666666666668,0.998,0.04893668364191889,0.06584839816587884,0.0495325870641891,0.06703240091388266,ptm-J30
0.11175669989494506,0.05240724795161397,dummy-keux0kek,0.934,0.918,1,0.978,0.1624080301873681,0.34331966769038375,0.16578236096606563,0.35519731578242464,ptm-J30
0.02233064585552396,0.03410588713230283,dummy-kf17vn43,0.9993333333333332,1,0.9993333333333332,1,0.13883652456695963,0.13351098579493867,0.14152856590681903,0.13706061143616344,ptm-J30
0.4776891632922389,0.04878783563899755,dummy-kfpgif6v,0.9833333333333332,0.6466666666666666,0.9653333333333334,0.68,0.16494214613759134,0.3986147828006718,0.16827477561566245,0.4201659236783327,ptm-J30
0.28881429608286413,0.07311826037271132,dummy-kg48gj0b,0.949,0.846,0.958,0.865,0.21967082470699612,0.34084405187564193,0.2248938645420777,0.36514535311321544,ptm-J30
0.07762938090777155,0.03258348493935299,dummy-kgp0lplz,0.9273333333333332,0.968,0.936,0.9806666666666668,0.11001899000147936,0.17354336485819835,0.11152485771491,0.17965814484518453,ptm-J30
3.1404601421468907,0.11410475016790284,dummy-khkmjwc2,0.38133333333333336,0.876,0.36666666666666664,0.9253333333333332,0.1883771706155536,1.0839331289597416,0.19592920948192613,1.147424895042196,ptm-J30
0.11692473440486802,0.05703136640618816,dummy-ki48g658,0.9993333333333332,1,0.9993333333333332,1,0.22010080382877065,0.291008531982076,0.22632441588158947,0.3056864851834092,ptm-J30
0.04773792107328317,0.04020227685559585,dummy-kizozwao,0.5573333333333333,0.8626666666666667,0.63,0.8933333333333333,0.08913258885990814,0.10554015773580255,0.09075061331710238,0.10704879996547226,ptm-J30
0.2671236216601287,0.02429326425118894,dummy-kj40ngto,0.6566666666666666,0.6093333333333333,0.6613333333333333,0.6173333333333333,0.05454066036689965,0.16173429575260134,0.0550207461185615,0.1636374491775442,ptm-J30
0.02037387742044209,0.01767369500602704,dummy-kjz7v65j,0.934,0.9533333333333334,0.9793333333333332,0.9466666666666668,0.05349524226874606,0.11275731501001432,0.05414836612983136,0.11415740243728684,ptm-J30
0.10449125773821676,0.05716961088436502,dummy-kkd9p7cz,0.9986666666666668,0.9993333333333332,0.9953333333333332,0.998,0.21982354813766963,0.26722862497768257,0.22636887744750905,0.2763739186605728,ptm-J30
0.11684079660036518,0.0698908775393599,dummy-kkoxla3s,0.9293333333333332,0.62,0.8733333333333333,0.678,0.20537369706183223,0.1939401843302799,0.20852105177697972,0.19973045991475336,ptm-J30
0.04852976121272303,0.0146728575844959,dummy-klmfbrij,0.991,0.919,0.987,0.924,0.05348049437769151,0.13048576172052545,0.05403620143140804,0.13225822348421118,ptm-J30
0.30399887450370316,0.11345199989605392,dummy-km62i2po,0.508,0.907,0.492,0.935,0.2118778010277474,0.32780375559620445,0.21870460368968656,0.35578611978570995,ptm-J30
0.22377195045101908,0.01681570259292781,dummy-kmw0s4xc,0.918,0.7493333333333333,0.9193333333333332,0.746,0.05650909012842521,0.16666997403710973,0.05713281690946369,0.16847034895136426,ptm-J30
0.10045801151216556,0.06069534329772963,dummy-kne2t1ek,0.5393333333333333,0.778,0.5633333333333334,0.8613333333333333,0.10909701690668186,0.25684951167863596,0.1115464220150326,0.26354884641170984,ptm-J30
0.17499928229311384,0.04247610377267174,dummy-knnsmf1h,0.986,0.822,0.975,0.843,0.14396330627351536,0.2035662694357268,0.14774892922483082,0.21301356954637304,ptm-J30
0.13975593945091783,0.0501166150363463,dummy-kp24d2bl,0.997,0.882,0.988,0.904,0.16148073781205105,0.24134316605003103,0.16477458935103767,0.25070423648555995,ptm-J30
0.30732329752556936,0.04253666763411206,dummy-kp2omxom,0.9193333333333332,0.678,0.9573333333333334,0.7,0.11882711155507546,0.3256759783595477,0.12032687140685284,0.3345077988865206,ptm-J30
0.11678107116924766,0.03577775920886589,dummy-kppnzh7b,0.989,0.903,0.977,0.93,0.11406446296475067,0.20165740107676125,0.11540151251562134,0.2095171667202102,ptm-J30
0.3997935209885482,0.05373587688585449,dummy-kpvxgqle,0.814,0.752,0.842,0.7733333333333333,0.1584606349291361,0.352831921468754,0.16159530474738196,0.3689392664859304,ptm-J30
0.07302836818103517,0.03188576040350239,dummy-kq3h05sm,0.8613333333333333,0.948,0.8833333333333333,0.9646666666666668,0.11236757471912384,0.18691497361212717,0.11408543751425336,0.190850847062182,ptm-J30
0.6577337148185392,0.08836811399851462,dummy-kq9hjqgb,0.4533333333333333,0.28533333333333333,0.522,0.306,0.15221851515860674,0.2168843225792164,0.15749210265342123,0.2249235491888532,ptm-J30
0.17085665575172632,0.0501960783194245,dummy-kqlza9qo,0.734,0.669,0.832,0.727,0.13083794168356427,0.1652647586979078,0.13443045255446004,0.17135692346588738,ptm-J30
0.36754957236165325,0.05887469100749137,dummy-kqqh4yyo,0.6373333333333333,0.766,0.6393333333333333,0.752,0.11521559801068872,0.2970310067231284,0.11716222992339828,0.3036703863618105,ptm-J30
0.04479453963692456,0.03985928052263819,dummy-krg5888g,0.886,0.9673333333333334,0.942,0.9826666666666668,0.12628697926348073,0.14849492330833844,0.12842055954028603,0.151064273396466,ptm-J30
0.04050391774495739,0.02709539114338764,dummy-kt76dksj,0.5753333333333334,0.8173333333333334,0.5966666666666667,0.8193333333333334,0.05167038875944227,0.1435012735713242,0.05228105742101292,0.14525126770192692,ptm-J30
0.4317799068114823,0.16621117650201186,dummy-ktpy8340,0.25866666666666666,0.5353333333333333,0.25933333333333336,0.472,0.1715400652874326,0.2614113826722193,0.1800324745538517,0.27950438726658644,ptm-J30
0.12363523139705276,0.01725850165524245,dummy-ku07wpju,0.9313333333333332,0.8946666666666667,0.9313333333333332,0.974,0.05350905024047137,0.12797872889619666,0.05408424322784896,0.1297650871794629,ptm-J30
0.08502520504877538,0.05961105168788654,dummy-ku7wx10q,0.8513333333333334,0.9453333333333334,0.912,0.9706666666666668,0.17903620421243477,0.21162259581503137,0.18194800715526163,0.21724507056686507,ptm-J30
0.17826567963949583,0.07957425190075582,dummy-ku90zhxl,0.64,0.6906666666666667,0.6246666666666667,0.6686666666666666,0.16867425000804084,0.3202241591275036,0.17199443619810684,0.33158169908124574,ptm-J30
0.1009055630674986,0.03404370416401884,dummy-kv52n8ys,0.8353333333333334,0.88,0.858,0.924,0.10314998446883604,0.16762343381360165,0.10421757016439372,0.17274295186375466,ptm-J30
0.13282062258723878,0.06514869311295102,dummy-kwlhtpai,0.9993333333333332,0.7933333333333333,0.9866666666666668,0.906,0.2045161751856215,0.2008006737075785,0.2098968810028556,0.21049074042567917,ptm-J30
