variable,ess_bulk_min,ess_bulk_median,ess_tail_min,ess_tail_median,rhat_max,rhat_median,ess_bulk_min_per_minute,ess_tail_min_per_minute,ess_bulk_median_per_minute,ess_tail_median_per_minute,data_type,data_seed,model,ntrain,ntest,job,run,acceptance_prob,position_moved,kernel,mcmc_strategy,apply_jitter
yx1_igvar,5.52005797919429,5.52005797919429,28.446142336963728,28.446142336963728,1.9796821954065136,1.9796821954065136,0.7275557544108125,3.749263979844614,0.7275557544108125,3.749263979844614,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA,NA,NA
yx1_penalty_weight,4.914960778337856,4.914960778337856,8.822393264709119,8.822393264709119,2.3894084929065573,2.3894084929065573,0.6478026155633051,1.162810791409695,0.6478026155633051,1.162810791409695,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA,NA,NA
yx2_coef,4.398536298641425,5.53405273114451,11.1385210900538,20.41032464065278,3.469578887453224,1.9589043573034857,0.5797367359406803,1.468081521107082,0.7294002934267634,2.6901255743453607,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA,NA,NA
yx2_igvar,4.7568716689105806,4.7568716689105806,23.890404068560372,23.890404068560372,2.5739551582363807,2.5739551582363807,0.6269661240432861,3.148807679338472,0.6269661240432861,3.148807679338472,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA,NA,NA
yx2_penalty_weight,5.170094652564578,5.170094652564578,33.28694216103202,33.28694216103202,2.1470190511291962,2.1470190511291962,0.6814298200307969,4.387292018902603,0.6814298200307969,4.387292018902603,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA,NA,NA
yx3_coef,4.6649441728687275,5.9217318199316775,10.929511147623408,16.52760237487069,2.743689016291116,1.8356939443926497,0.6148498783469701,1.4405335520608404,0.7804972480194421,2.1783742597946625,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA,NA,NA
yx3_igvar,5.628960692569777,5.628960692569777,17.881748033123316,17.881748033123316,1.9003098211381495,1.9003098211381495,0.741909371000697,2.356853628976201,0.741909371000697,2.356853628976201,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA,NA,NA
yx3_penalty_weight,4.832455228282175,4.832455228282175,10.599414001305869,10.599414001305869,2.4727641626217736,2.4727641626217736,0.6369282030226959,1.3970260238386516,0.6369282030226959,1.3970260238386516,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA,NA,NA
intercept,5.25273300339238,5.25273300339238,14.618075518466974,14.618075518466974,2.099399359769578,2.099399359769578,0.17810273315605918,0.49565039792413024,0.17810273315605918,0.49565039792413024,mixture,5,bctm-te,10000,5000,006-bctm-te,20260109-231430,NA,NA,NA,NA,NA
yx0_coef,4.68712177141447,7.540386209835027,11.408027132906543,26.043911672663455,2.6858798447736354,1.4831362093756832,0.15892473453058698,0.3868083169231972,0.25566945667265945,0.8830625596200435,mixture,5,bctm-te,10000,5000,006-bctm-te,20260109-231430,NA,NA,NA,NA,NA
yx0_igvar,5.173842454792096,5.173842454792096,11.484850432413012,11.484850432413012,2.152189275376938,2.152189275376938,0.1754278166284502,0.3894131398988428,0.1754278166284502,0.3894131398988428,mixture,5,bctm-te,10000,5000,006-bctm-te,20260109-231430,NA,NA,NA,NA,NA
yx0_penalty_weight,5.470069937850033,5.470069937850033,4.504332273960899,4.504332273960899,1.976077110577943,1.976077110577943,0.18547190688289208,0.15272694966931982,0.18547190688289208,0.15272694966931982,mixture,5,bctm-te,10000,5000,006-bctm-te,20260109-231430,NA,NA,NA,NA,NA
yx1_coef,4.47572536008747,8.654037511115398,11.102606324437524,37.853239465966475,3.1991073066257063,1.4102675028752003,0.1517569842161496,0.3764525115327586,0.29342967414663707,1.2834776493199618,mixture,5,bctm-te,10000,5000,006-bctm-te,20260109-231430,NA,NA,NA,NA,NA
yx1_igvar,11.499308570519071,11.499308570519071,129.912191845387,129.912191845387,1.2715124318767543,1.2715124318767543,0.3899033673502236,4.404891020163154,0.3899033673502236,4.404891020163154,mixture,5,bctm-te,10000,5000,006-bctm-te,20260109-231430,NA,NA,NA,NA,NA
yx1_penalty_weight,9.26453615879249,9.26453615879249,35.72252241806157,35.72252241806157,1.3573464490644038,1.3573464490644038,0.31412965597878917,1.2112321097943497,0.31412965597878917,1.2112321097943497,mixture,5,bctm-te,10000,5000,006-bctm-te,20260109-231430,NA,NA,NA,NA,NA
yx2_coef,4.3894573481885395,5.956974313662352,10.929470903359125,23.33348499639877,3.4957571902601057,1.8001967133638006,0.14883192240676085,0.37058206434264374,0.2019812173812199,0.7911609916648347,mixture,5,bctm-te,10000,5000,006-bctm-te,20260109-231430,NA,NA,NA,NA,NA
yx2_igvar,5.008288396593734,5.008288396593734,23.61693449595336,23.61693449595336,2.281881021733364,2.281881021733364,0.1698144282778215,0.8007718229311082,0.1698144282778215,0.8007718229311082,mixture,5,bctm-te,10000,5000,006-bctm-te,20260109-231430,NA,NA,NA,NA,NA
yx2_penalty_weight,4.131534363209659,4.131534363209659,4.016064257028113,4.016064257028113,6.0619590901276785,6.0619590901276785,0.14008661048269383,0.13617140262890193,0.14008661048269383,0.13617140262890193,mixture,5,bctm-te,10000,5000,006-bctm-te,20260109-231430,NA,NA,NA,NA,NA
yx3_coef,4.466098661476534,6.915364021232476,11.950255121941586,25.233584946562964,3.3105328282401754,1.5777371117643857,0.1514305748340679,0.4051934674302733,0.23447702979670673,0.8555870712267268,mixture,5,bctm-te,10000,5000,006-bctm-te,20260109-231430,NA,NA,NA,NA,NA
yx3_igvar,6.8494797812626835,6.8494797812626835,20.7462848937005,20.7462848937005,1.572704427634951,1.572704427634951,0.23224311400411812,0.7034376276151851,0.23224311400411812,0.7034376276151851,mixture,5,bctm-te,10000,5000,006-bctm-te,20260109-231430,NA,NA,NA,NA,NA
yx3_penalty_weight,5.376968162562539,5.376968162562539,24.229956217601323,24.229956217601323,2.006010601798279,2.006010601798279,0.18231513485018552,0.8215573538231261,0.18231513485018552,0.8215573538231261,mixture,5,bctm-te,10000,5000,006-bctm-te,20260109-231430,NA,NA,NA,NA,NA
intercept,4.707958310340673,4.707958310340673,16.149987401472288,16.149987401472288,2.683998751429069,2.683998751429069,0.07007168097824508,0.2403710250604907,0.07007168097824508,0.2403710250604907,mixture,10,bctm-te,20000,5000,006-bctm-te,20260110-002223,NA,NA,NA,NA,NA
yx0_coef,4.545957600406915,6.358390911615259,10.950905385217474,26.13809721954694,2.9677215758720106,1.704571854330719,0.06766051645289352,0.16298962267581735,0.09463616925304452,0.3890307196908708,mixture,10,bctm-te,20000,5000,006-bctm-te,20260110-002223,NA,NA,NA,NA,NA
yx0_igvar,7.215120923288,7.215120923288,16.996649079963028,16.996649079963028,1.529172500270387,1.529172500270387,0.10738745295293702,0.2529724550479656,0.10738745295293702,0.2529724550479656,mixture,10,bctm-te,20000,5000,006-bctm-te,20260110-002223,NA,NA,NA,NA,NA
yx0_penalty_weight,18.101636621614475,18.101636621614475,4275.831483548299,4275.831483548299,1.1525785399757005,1.1525785399757005,0.26941872100861997,63.64004944008359,0.26941872100861997,63.64004944008359,mixture,10,bctm-te,20000,5000,006-bctm-te,20260110-002223,NA,NA,NA,NA,NA
yx1_coef,4.562578292754341,5.9092544577316,11.227840036956248,23.272089090213335,2.975365977353452,1.7966850906259544,0.06790789329334862,0.16711142565054601,0.08795137209944381,0.34637401075642205,mixture,10,bctm-te,20000,5000,006-bctm-te,20260110-002223,NA,NA,NA,NA,NA
yx1_igvar,5.300299141780039,5.300299141780039,20.633648707672975,20.633648707672975,2.0706696015785173,2.0706696015785173,0.07888788431629128,0.3071043442516418,0.07888788431629128,0.3071043442516418,mixture,10,bctm-te,20000,5000,006-bctm-te,20260110-002223,NA,NA,NA,NA,NA
yx1_penalty_weight,5.224631062686833,5.224631062686833,5.3581153732053135,5.3581153732053135,2.113087130402368,2.113087130402368,0.07776166586894226,0.07974840181809198,0.07776166586894226,0.07974840181809198,mixture,10,bctm-te,20000,5000,006-bctm-te,20260110-002223,NA,NA,NA,NA,NA
yx2_coef,4.322772318412114,6.27737508803389,10.93117468077252,16.659904065250572,3.859452524104642,1.7325243459289263,0.06433870116735253,0.16269595745276175,0.09343035676067078,0.2479604545826858,mixture,10,bctm-te,20000,5000,006-bctm-te,20260110-002223,NA,NA,NA,NA,NA
yx2_igvar,6.306104105930761,6.306104105930761,27.714816970943623,27.714816970943623,1.686503650060062,1.686503650060062,0.09385794987942594,0.412498090497723,0.09385794987942594,0.412498090497723,mixture,10,bctm-te,20000,5000,006-bctm-te,20260110-002223,NA,NA,NA,NA,NA
yx2_penalty_weight,4.272636160803423,4.272636160803423,4.016064257028113,4.016064257028113,4.1823444563877334,4.1823444563877334,0.06359249132226642,0.05977376069548149,0.06359249132226642,0.05977376069548149,mixture,10,bctm-te,20000,5000,006-bctm-te,20260110-002223,NA,NA,NA,NA,NA
yx3_coef,4.4556380242887075,5.993640428483895,10.930568419682531,16.711649235597683,3.233353988035738,1.7741459480446198,0.06631623001137077,0.16268693406493903,0.0892073447380729,0.2487306124366251,mixture,10,bctm-te,20000,5000,006-bctm-te,20260110-002223,NA,NA,NA,NA,NA
yx3_igvar,12.629102901322623,12.629102901322623,18.51605727273697,18.51605727273697,1.2229229240818855,1.2229229240818855,0.1879673546809451,0.27558681973465793,0.1879673546809451,0.27558681973465793,mixture,10,bctm-te,20000,5000,006-bctm-te,20260110-002223,NA,NA,NA,NA,NA
yx3_penalty_weight,7.538806810222392,7.538806810222392,55.46160884502527,55.46160884502527,1.480175734581049,1.480175734581049,0.11220508571672116,0.825472084787346,0.11220508571672116,0.825472084787346,mixture,10,bctm-te,20000,5000,006-bctm-te,20260110-002223,NA,NA,NA,NA,NA
$\beta_0$,584.8295614897393,584.8295614897393,1560.3508222667233,1560.3508222667233,1.010518607771662,1.010518607771662,1929.945517850707,5149.178964273614,1929.945517850707,5149.178964273614,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
$\gamma_0$,2081.7867488753877,2081.7867488753877,4208.536773395392,4208.536773395392,1.001929361302969,1.001929361302969,6869.924623643601,13888.22866928011,6869.924623643601,13888.22866928011,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
g(x0)_coef,423.5209732471582,554.9135172747411,676.3024250462456,957.2285071961812,1.017471776034756,1.0076387433856238,1397.624979749699,2231.8072133781243,1831.222164507406,3158.8671104728433,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
g(x0)_variance,314.0010766696244,314.0010766696244,517.6392605928119,517.6392605928119,1.0102115953043846,1.0102115953043846,1036.2078294660039,1708.2166098099656,1036.2078294660039,1708.2166098099656,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
g(x1)_coef,370.80502062419504,502.1641785663646,699.8887728686396,876.7811526504647,1.0152642876072544,1.007224495788141,1223.6616181426728,2309.6424824201727,1657.1486283638228,2893.389744840094,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
g(x1)_variance,342.84975446169545,342.84975446169545,554.8388190553461,554.8388190553461,1.0074800161283948,1.0074800161283948,1131.4088590769254,1830.9756593660693,1131.4088590769254,1830.9756593660693,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
g(x2)_coef,338.43797332183476,505.4777403992632,445.42172633528435,876.8215549801644,1.0221841019434597,1.0069017826829785,1116.849921230276,1469.8977632121428,1668.083427540584,2893.523073078352,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
g(x2)_variance,267.91766395989436,267.91766395989436,699.3074052138729,699.3074052138729,1.0149891458033962,1.0149891458033962,884.131939902805,2307.7239612416565,884.131939902805,2307.7239612416565,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
g(x3)_coef,372.5629899517164,581.8194307684,543.8279295112062,996.5212135856344,1.0119154827875356,1.0065123774642393,1229.4629408657006,1794.6395739104526,1920.0120454745925,3288.533576694865,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
g(x3)_variance,373.3580836044291,373.3580836044291,733.3680188967759,733.3680188967759,1.00352667654742,1.00352667654742,1232.0867607482244,2420.1244502749323,1232.0867607482244,2420.1244502749323,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
s(x0)_coef,473.457062276569,696.9667617814576,809.8728080817372,1120.436026692336,1.0100283315965584,1.0050417484332486,1562.4147536383705,2672.5912965224434,2299.9998060369,3697.454147572647,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
s(x0)_variance,391.3090133355154,391.3090133355154,603.7328517027848,603.7328517027848,1.0089953818922393,1.0089953818922393,1291.325073338842,1992.3266330022168,1291.325073338842,1992.3266330022168,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
s(x1)_coef,461.7285755383375,613.510085520428,692.2125769805684,1129.7377114736762,1.0140098929873995,1.0062546605764209,1523.7105876691228,2284.3109314455783,2024.5916377589397,3728.149834032953,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
s(x1)_variance,514.6513327274533,514.6513327274533,1246.6704754584823,1246.6704754584823,1.0035652654451654,1.0035652654451654,1698.3564071609735,4114.029547718272,1698.3564071609735,4114.029547718272,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
s(x2)_coef,492.97177959788377,632.6908394031352,1079.4217837741212,1358.5468681702473,1.014627994815026,1.0049483909464216,1626.8135865743418,3562.1065873596913,2087.8883867991776,4483.223167338618,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
s(x2)_variance,2222.0843826908217,2222.0843826908217,3915.817630796996,3915.817630796996,1.0012712169872346,1.0012712169872346,7332.908725981778,12922.251512092942,7332.908725981778,12922.251512092942,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
s(x3)_coef,427.9008181803601,581.0438393700914,952.678349946062,1142.7041050385146,1.0125157507720732,1.004730306223265,1412.0785276794277,3143.8515295777634,1917.452583297208,3770.939109389355,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
s(x3)_variance,1094.4778631568054,1094.4778631568054,2964.2150770742105,2964.2150770742105,1.0039454443979776,1.0039454443979776,3611.7918543749183,9781.95012470352,3611.7918543749183,9781.95012470352,gaussian,2,gaussian-iwls,1000,5000,008-gaussian,20260109-193307,NA,NA,NA,NA,NA
$\beta_0$,969.7561815008352,969.7561815008352,2208.5827845018975,2208.5827845018975,1.0041778156723673,1.0041778156723673,2596.662454916396,5913.7998854672405,2596.662454916396,5913.7998854672405,mixture,2,gaussian-iwls,2000,5000,008-gaussian,20260109-203021,NA,NA,NA,NA,NA
$\gamma_0$,4096.490054510079,4096.490054510079,5085.223296348871,5085.223296348871,1.0016571185749683,1.0016571185749683,10968.944693935508,13616.420973011283,10968.944693935508,13616.420973011283,mixture,2,gaussian-iwls,2000,5000,008-gaussian,20260109-203021,NA,NA,NA,NA,NA
g(x0)_coef,803.4107655960307,1001.9739463301148,1022.7509859688088,1774.1674959321451,1.007481985900697,1.003907497660432,2151.2485413294103,2738.5637097809467,2682.930180669938,4750.59011048549,mixture,2,gaussian-iwls,2000,5000,008-gaussian,20260109-203021,NA,NA,NA,NA,NA
g(x0)_variance,753.2750316841089,753.2750316841089,1155.5391191919566,1155.5391191919566,1.0076983845432967,1.0076983845432967,2017.0028614542016,3094.12314479826,2017.0028614542016,3094.12314479826,mixture,2,gaussian-iwls,2000,5000,008-gaussian,20260109-203021,NA,NA,NA,NA,NA
g(x1)_coef,798.3239036205691,993.28975491745,1324.588859882808,1696.2161431943337,1.012724482236672,1.003504900322114,2137.6277325560336,3546.7782791908303,2659.6770019609617,4541.864087568105,mixture,2,gaussian-iwls,2000,5000,008-gaussian,20260109-203021,NA,NA,NA,NA,NA
