variable,ess_bulk_min,ess_bulk_median,ess_tail_min,ess_tail_median,rhat_max,rhat_median,ess_bulk_min_per_minute,ess_tail_min_per_minute,ess_bulk_median_per_minute,ess_tail_median_per_minute,model,job,run,fold,a,b,nparam,trafo_target_slope
s(age)_coef,12754.345532576484,15049.200049763269,13821.557425065668,14784.367459206152,1.0003030845238343,1.0001320459807714,4583.173312338381,4966.667475310026,5407.811154555047,5312.645655221611,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145909,2,NA,NA,NA,NA
s(age)_variance,5268.586824352395,5268.586824352395,9158.161727110048,9158.161727110048,1.0002561791130269,1.0002561791130269,1893.22505536916,3290.913070416915,1893.22505536916,3290.913070416915,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145909,2,NA,NA,NA,NA
s(sex)_coef,14794.572982282423,14794.572982282423,15989.679500200038,15989.679500200038,1.0000563883533455,1.0000563883533455,5316.312929319067,5745.765015616371,5316.312929319067,5745.765015616371,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145909,2,NA,NA,NA,NA
scale_intercept,14802.55136956138,14802.55136956138,18092.88088631061,18092.88088631061,1.00032148354029,1.00032148354029,5319.179899761339,6501.533819172363,5319.179899761339,6501.533819172363,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145909,2,NA,NA,NA,NA
g(age)_coef,13557.770181966236,15340.54973099535,13995.401337333484,15676.25062820724,1.0005936578261063,1.0002024834963077,4833.2639123953295,4989.276799602246,5468.814149818604,5588.489510152648,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145905,3,NA,NA,NA,NA
g(age)_variance,5844.678908329599,5844.678908329599,10355.87574103801,10355.87574103801,1.0009370529803543,1.0009370529803543,2083.593044285601,3691.807710901195,2083.593044285601,3691.807710901195,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145905,3,NA,NA,NA,NA
g(sex)_coef,14100.325303107951,14100.325303107951,16662.021048344315,16662.021048344315,1.0001848982198682,1.0001848982198682,5026.6815653208505,5939.91076406155,5026.6815653208505,5939.91076406155,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145905,3,NA,NA,NA,NA
loc_intercept,14342.323807865723,14342.323807865723,17768.557632642794,17768.557632642794,0.9999652422231536,0.9999652422231536,5112.952583652108,6334.384432581826,5112.952583652108,6334.384432581826,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145905,3,NA,NA,NA,NA
s(age)_coef,12399.155187206465,14985.047856296516,12970.1183515976,14571.264028069889,1.0002812798962115,1.000156230207076,4420.224602289515,4623.769552581519,5342.079859540085,5194.568401707533,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145905,3,NA,NA,NA,NA
s(age)_variance,5027.503190641505,5027.503190641505,8408.195771898252,8408.195771898252,1.000179773591849,1.000179773591849,1792.274792583623,2997.4714608104587,1792.274792583623,2997.4714608104587,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145905,3,NA,NA,NA,NA
s(sex)_coef,14600.616707693478,14600.616707693478,16200.161800877848,16200.161800877848,1.000105955944432,1.000105955944432,5205.032456286766,5775.260707051807,5205.032456286766,5775.260707051807,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145905,3,NA,NA,NA,NA
scale_intercept,14233.734980446889,14233.734980446889,17836.14659912158,17836.14659912158,0.999999095208338,0.999999095208338,5074.2413166953265,6358.479494540654,5074.2413166953265,6358.479494540654,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145905,3,NA,NA,NA,NA
g(age)_coef,13700.599035026567,15263.262627695603,13151.915136028723,15830.08819359892,1.0005790981967564,1.000080553625207,4955.744001659358,4757.2755307323605,5520.986492603188,5726.017118711653,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150519,4,NA,NA,NA,NA
g(age)_variance,6105.76965117706,6105.76965117706,10083.979933715776,10083.979933715776,1.0001195983084252,1.0001195983084252,2208.562650945123,3647.5502232861586,2208.562650945123,3647.5502232861586,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150519,4,NA,NA,NA,NA
g(sex)_coef,13501.162704448448,13501.162704448448,16659.411311520536,16659.411311520536,1.000053024963067,1.000053024963067,4883.604426123378,6025.997656538517,4883.604426123378,6025.997656538517,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150519,4,NA,NA,NA,NA
loc_intercept,12801.421349617352,12801.421349617352,17185.70004622077,17185.70004622077,1.0003412302325687,1.0003412302325687,4630.495856705964,6216.365408595463,4630.495856705964,6216.365408595463,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150519,4,NA,NA,NA,NA
s(age)_coef,10890.084117815044,15168.284782764356,11811.48483831296,14090.987958848147,1.000615206799091,1.00015823793044,3939.1320705360017,4272.418672242852,5486.631360823531,5096.954437976554,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150519,4,NA,NA,NA,NA
s(age)_variance,4654.918038337967,4654.918038337967,8068.665317624981,8068.665317624981,1.0004806987540864,1.0004806987540864,1683.764489985645,2918.576016055152,1683.764489985645,2918.576016055152,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150519,4,NA,NA,NA,NA
s(sex)_coef,13193.155940934628,13193.155940934628,17070.484486354886,17070.484486354886,1.0001132714554892,1.0001132714554892,4772.19304426688,6174.689944753085,4772.19304426688,6174.689944753085,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150519,4,NA,NA,NA,NA
scale_intercept,13298.784940865413,13298.784940865413,17473.87093675994,17473.87093675994,1.000070298477164,1.000070298477164,4810.400883316104,6320.601811587135,4810.400883316104,6320.601811587135,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150519,4,NA,NA,NA,NA
g(age)_coef,12543.17225290296,15336.136011310931,14503.86712917248,15595.667866429474,1.0004905194580704,1.0001127349865753,4551.731518377468,5263.238662367435,5565.256718582649,5659.4369866318775,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150522,5,NA,NA,NA,NA
g(age)_variance,6399.9548612666795,6399.9548612666795,11116.366340087943,11116.366340087943,1.000477142472249,1.000477142472249,2322.4488726509085,4033.9647754018706,2322.4488726509085,4033.9647754018706,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150522,5,NA,NA,NA,NA
g(sex)_coef,13176.391142480672,13176.391142480672,16716.934340246167,16716.934340246167,1.0000269120119696,1.0000269120119696,4781.51727907734,6066.327990475838,4781.51727907734,6066.327990475838,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150522,5,NA,NA,NA,NA
loc_intercept,13962.711403847432,13962.711403847432,17704.07440081857,17704.07440081857,1.000201433875013,1.000201433875013,5066.86126104917,6424.546504593792,5066.86126104917,6424.546504593792,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150522,5,NA,NA,NA,NA
s(age)_coef,12817.076809475808,15194.47260845741,13021.356910246615,14185.917957442893,1.0003964486087091,1.0001469943787793,4651.127427007463,4725.257651364432,5513.849166906896,5147.859614944353,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150522,5,NA,NA,NA,NA
s(age)_variance,5104.632335004903,5104.632335004903,8027.025591351851,8027.025591351851,1.0004062065330075,1.0004062065330075,1852.395504143153,2912.8887530443308,1852.395504143153,2912.8887530443308,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150522,5,NA,NA,NA,NA
s(sex)_coef,14157.040935179244,14157.040935179244,16884.483502607665,16884.483502607665,1.00030351699326,1.00030351699326,5137.3805710674005,6127.129101057898,5137.3805710674005,6127.129101057898,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150522,5,NA,NA,NA,NA
scale_intercept,13324.581807679466,13324.581807679466,17279.120403496832,17279.120403496832,1.0001780169853909,1.0001780169853909,4835.293477626999,6270.336990089025,4835.293477626999,6270.336990089025,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150522,5,NA,NA,NA,NA
g(age)_coef,13707.805947793207,15431.79861230902,13827.412794372824,15716.053608776758,1.0004946052433086,1.0001752500359449,4992.210954841569,5035.770267837604,5620.067454900056,5723.589558491196,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150526,6,NA,NA,NA,NA
g(age)_variance,6190.616767264699,6190.616767264699,10817.48605233392,10817.48605233392,1.0010699685557507,1.0010699685557507,2254.544962225705,3939.592709437292,2254.544962225705,3939.592709437292,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150526,6,NA,NA,NA,NA
g(sex)_coef,13293.394014076144,13293.394014076144,15939.195948413815,15939.195948413815,1.0000436135156647,1.0000436135156647,4841.2873275887005,5804.85519915373,4841.2873275887005,5804.85519915373,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150526,6,NA,NA,NA,NA
