kernel,error_code,error_msg,phase,count,relative,model,job,run,fold,a,b,nparam,trafo_target_slope,index
kernel_00,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210015,7,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,109,0.00545,ptm-linear-77-id,002c-ptm-linear,20250909-210015,7,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210015,7,-7,7,40,identity,NA
kernel_05,1,divergent transition,warmup,33,0.00165,ptm-linear-77-id,002c-ptm-linear,20250909-210015,7,-7,7,40,identity,NA
kernel_05,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210015,7,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,93,0.00465,ptm-linear-77-id,002c-ptm-linear,20250909-205953,8,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-205953,8,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,85,0.00425,ptm-linear-77-id,002c-ptm-linear,20250909-205953,8,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-205953,8,-7,7,40,identity,NA
kernel_05,1,divergent transition,warmup,40,0.002,ptm-linear-77-id,002c-ptm-linear,20250909-205953,8,-7,7,40,identity,NA
kernel_05,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-205953,8,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,100,0.005,ptm-linear-77-id,002c-ptm-linear,20250909-205729,9,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-205729,9,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,87,0.00435,ptm-linear-77-id,002c-ptm-linear,20250909-205729,9,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-205729,9,-7,7,40,identity,NA
kernel_05,1,divergent transition,warmup,33,0.00165,ptm-linear-77-id,002c-ptm-linear,20250909-205729,9,-7,7,40,identity,NA
kernel_05,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-205729,9,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,96,0.0048,ptm-linear-77-id,002c-ptm-linear,20250909-210222,10,-7,7,40,identity,NA
