waic,log_score,crps,fit_seconds,model,job,run,fold,a,b,nparam,trafo_target_slope
12612.7490234375,684.0149,0.35458523,6347.932068109512,bctm,003-bctm,20250826-113628,5,NA,NA,NA,NA
12579.033203125,700.91077,0.36589363,6365.1058712005615,bctm,003-bctm,20250826-114051,6,NA,NA,NA,NA
12520.9619140625,730.47656,0.3872518,6943.66362118721,bctm,003-bctm,20250826-134221,7,NA,NA,NA,NA
13977.193359375,3.2175045,0.5760698,8515.157926797867,bctm,003b-bctm,20250829-141936,-1,NA,NA,NA,NA
12570.8017578125,703.4873,0.3682846,4884.4815418720245,bctm,003c-bctm,20250828-230215,8,NA,NA,NA,NA
12562.435546875,708.7068,0.37152418,7493.6733458042145,bctm,003c-bctm,20250828-234551,9,NA,NA,NA,NA
12577.951171875,701.21545,0.36890945000000003,8173.988833904266,bctm,003c-bctm,20250828-235745,10,NA,NA,NA,NA
NA,NA,0.29975888650641125,63.34,qgam,004-qgam,20250817-154405,-1,NA,NA,NA,NA
NA,NA,0.3467749228223297,64.4,qgam,004-qgam,20250817-154402,1,NA,NA,NA,NA
NA,NA,0.3641898800665608,66.833,qgam,004-qgam,20250817-154403,10,NA,NA,NA,NA
NA,NA,0.35810714841078045,61.96600000000001,qgam,004-qgam,20250817-154403,2,NA,NA,NA,NA
NA,NA,0.3460134762640163,61.717,qgam,004-qgam,20250817-154401,3,NA,NA,NA,NA
NA,NA,0.365410290323489,65.829,qgam,004-qgam,20250817-154404,4,NA,NA,NA,NA
NA,NA,0.3495005909910124,65.876,qgam,004-qgam,20250817-154404,5,NA,NA,NA,NA
NA,NA,0.35973836037423873,60.367999999999995,qgam,004-qgam,20250817-154401,6,NA,NA,NA,NA
NA,NA,0.3807880397854351,64.453,qgam,004-qgam,20250817-154406,7,NA,NA,NA,NA
NA,NA,0.3624112284030239,59.706,qgam,004-qgam,20250817-154404,8,NA,NA,NA,NA
NA,NA,0.3659686504634189,63.23,qgam,004-qgam,20250817-154404,9,NA,NA,NA,NA
13711.581926949457,1.5240312184413387,0.3424416098125165,862.149,ddpstar,005-ddpstar,20250817-162005,-1,NA,NA,NA,NA
12396.983931398065,663.2491393552381,0.3489275742044656,789.967,ddpstar,005-ddpstar,20250817-160510,1,NA,NA,NA,NA
12334.154409075829,694.276151262049,0.3659964958759824,789.007,ddpstar,005-ddpstar,20250817-164943,10,NA,NA,NA,NA
12353.78794495965,684.9610694457004,0.35851700780848766,787.355,ddpstar,005-ddpstar,20250817-160502,2,NA,NA,NA,NA
