kernel,error_code,error_msg,phase,count,relative,model,job,run,fold,a,b,nparam,trafo_target_slope,index
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-043939,8,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,warmup,3481,0.17404999999999998,ptm,001g-ptm,20250906-043939,8,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-043939,8,-4,7,30,identity,NA
kernel_00,1,divergent transition,warmup,98,0.0049,ptm,001g-ptm,20250906-064707,8,-4,7,30,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-064707,8,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,3481,0.17404999999999998,ptm,001g-ptm,20250906-064707,8,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-064707,8,-4,7,30,continue_linearly,NA
kernel_00,1,divergent transition,warmup,77,0.00385,ptm,001g-ptm,20250905-204150,9,-4,4,20,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-204150,9,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,warmup,1267,0.06334999999999999,ptm,001g-ptm,20250905-204150,9,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-204150,9,-4,4,20,identity,NA
kernel_00,1,divergent transition,warmup,84,0.0042,ptm,001g-ptm,20250905-211111,9,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-211111,9,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,2352,0.1176,ptm,001g-ptm,20250905-211111,9,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-211111,9,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,warmup,91,0.00455,ptm,001g-ptm,20250906-070913,9,-4,7,30,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-070913,9,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,warmup,3883,0.19415,ptm,001g-ptm,20250906-070913,9,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-070913,9,-4,7,30,identity,NA
kernel_00,1,divergent transition,warmup,90,0.0045,ptm,001g-ptm,20250906-072048,9,-4,7,30,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-072048,9,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,3877,0.19385,ptm,001g-ptm,20250906-072048,9,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-072048,9,-4,7,30,continue_linearly,NA
kernel_00,1,divergent transition,warmup,77,0.00384999999999999,ptm,001g-ptm,20250905-203816,10,-4,4,20,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-203816,10,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,warmup,978,0.0489,ptm,001g-ptm,20250905-203816,10,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-203816,10,-4,4,20,identity,NA
kernel_00,1,divergent transition,warmup,96,0.0048,ptm,001g-ptm,20250905-210108,10,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-210108,10,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,1900,0.095,ptm,001g-ptm,20250905-210108,10,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-210108,10,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,warmup,99,0.00495,ptm,001g-ptm,20250906-073227,10,-4,7,30,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-073227,10,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,warmup,2911,0.14554999999999998,ptm,001g-ptm,20250906-073227,10,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-073227,10,-4,7,30,identity,NA
kernel_00,1,divergent transition,warmup,99,0.00495,ptm,001g-ptm,20250906-072514,10,-4,7,30,continue_linearly,NA
