variable,ess_bulk_min,ess_bulk_median,ess_tail_min,ess_tail_median,rhat_max,rhat_median,ess_bulk_min_per_minute,ess_tail_min_per_minute,ess_bulk_median_per_minute,ess_tail_median_per_minute,model,job,run,fold,a,b,nparam,trafo_target_slope
g(age)_coef,6005.681993532315,6474.328581741545,8447.105074390576,9288.762049191815,1.0013646442123454,1.0006032086022358,11.856558556380405,16.67647338874554,12.781771666454269,18.338092371712623,ptm-47-co,001g-ptm,20250906-020052,4,-4,7,30,continue_linearly
g(age)_variance,4512.166610647543,4512.166610647543,8576.905930132836,8576.905930132836,1.000747213167905,1.000747213167905,8.90802538211337,16.93272928914682,8.90802538211337,16.93272928914682,ptm-47-co,001g-ptm,20250906-020052,4,-4,7,30,continue_linearly
loc_intercept,5085.134586659407,5085.134586659407,9333.083422109592,9333.083422109592,1.0010687833874496,1.0010687833874496,10.039192228082149,18.425592667909573,10.039192228082149,18.425592667909573,ptm-47-co,001g-ptm,20250906-020052,4,-4,7,30,continue_linearly
s(age)_coef,5839.513956289395,6246.682389724468,8750.280558200524,9500.566518362191,1.000882073934364,1.0005434008879657,11.528505711442689,17.27500955508314,12.332347203305163,18.75624173325492,ptm-47-co,001g-ptm,20250906-020052,4,-4,7,30,continue_linearly
s(age)_variance,18131.765392928275,18131.765392928275,28498.15453996457,28498.15453996457,1.0001218745589502,1.0001218745589502,35.79615742946831,56.26172654758461,35.79615742946831,56.26172654758461,ptm-47-co,001g-ptm,20250906-020052,4,-4,7,30,continue_linearly
scale_intercept,4931.120017789776,4931.120017789776,9550.277386079537,9550.277386079537,1.0006875209057102,1.0006875209057102,9.73513304607667,18.85438209676633,9.73513304607667,18.85438209676633,ptm-47-co,001g-ptm,20250906-020052,4,-4,7,30,continue_linearly
trafo0_latent,19347.950892364857,28108.390467275494,20918.191884565844,24443.89623077616,1.0002150145028013,1.000069444323865,38.19717942913788,41.29718610476769,55.49224515379986,48.257714497437505,ptm-47-co,001g-ptm,20250906-020052,4,-4,7,30,continue_linearly
trafo0_scale_square_transformed,12256.547016434057,12256.547016434057,18923.502134468636,18923.502134468636,1.0000519793700402,1.0000519793700402,24.19716321241776,37.35922271454676,24.19716321241776,37.35922271454676,ptm-47-co,001g-ptm,20250906-020052,4,-4,7,30,continue_linearly
g(age)_coef,5393.486965355427,6348.055881004963,7179.757379416079,9022.153140552517,1.0012336314884491,1.000531485723798,24.681436414917687,32.85568804983961,29.049692451614785,41.28677801477219,ptm-44-id,001g-ptm,20250905-161343,4,-4,4,20,identity
g(age)_variance,3840.865192878723,3840.865192878723,7782.375277040003,7782.375277040003,1.000695309290795,1.000695309290795,17.57639735577995,35.613361409993196,17.57639735577995,35.613361409993196,ptm-44-id,001g-ptm,20250905-161343,4,-4,4,20,identity
loc_intercept,4951.825951272469,4951.825951272469,8232.783398278905,8232.783398278905,1.0006001079883386,1.0006001079883386,22.660326823653804,37.67449912600655,22.660326823653804,37.67449912600655,ptm-44-id,001g-ptm,20250905-161343,4,-4,4,20,identity
s(age)_coef,5689.963442541186,5996.418974883094,8656.542006234245,9273.582288722358,1.000783924837487,1.0004722451882808,26.03815895215235,39.61368451844488,27.440547200067233,42.43735695809257,ptm-44-id,001g-ptm,20250905-161343,4,-4,4,20,identity
s(age)_variance,18980.36372930479,18980.36372930479,28154.404909059176,28154.404909059176,1.0001230672234598,1.0001230672234598,86.8571007079415,128.8389420473917,86.8571007079415,128.8389420473917,ptm-44-id,001g-ptm,20250905-161343,4,-4,4,20,identity
scale_intercept,6370.571032609592,6370.571032609592,9557.603539710712,9557.603539710712,1.001335376378239,1.001335376378239,29.152725292200365,43.73708244028673,29.152725292200365,43.73708244028673,ptm-44-id,001g-ptm,20250905-161343,4,-4,4,20,identity
trafo0_latent,17817.508464923212,25316.91098156818,17878.000842058995,21318.362389814953,1.000352159242084,1.0000461034809838,81.53569389784924,81.81251643760032,115.85412788191074,97.55614673293576,ptm-44-id,001g-ptm,20250905-161343,4,-4,4,20,identity
trafo0_scale_square_transformed,14203.903955450178,14203.903955450178,22167.083295827764,22167.083295827764,1.000048371367919,1.000048371367919,64.99927682627465,101.44002579120026,64.99927682627465,101.44002579120026,ptm-44-id,001g-ptm,20250905-161343,4,-4,4,20,identity
g(age)_coef,2053.4659875411853,4917.489518571996,4258.586301539993,6537.6433826999555,1.0027563004585476,1.0007234982569266,7.671412934029483,15.90938161748318,18.37093622422174,24.42356596525357,ptm-44-co,001g-ptm,20250905-170332,4,-4,4,20,continue_linearly
g(age)_variance,1616.6553772553534,1616.6553772553534,3239.4383296832207,3239.4383296832207,1.0019413541744884,1.0019413541744884,6.039559966510666,12.10201155125015,6.039559966510666,12.10201155125015,ptm-44-co,001g-ptm,20250905-170332,4,-4,4,20,continue_linearly
loc_intercept,4773.11932463146,4773.11932463146,8561.955258677846,8561.955258677846,1.0003309953651094,1.0003309953651094,17.83159280202563,31.986063908782235,17.83159280202563,31.986063908782235,ptm-44-co,001g-ptm,20250905-170332,4,-4,4,20,continue_linearly
s(age)_coef,5210.136873886214,5600.588016487425,8076.127533883518,9064.84393213521,1.0009991304959382,1.0005644946799488,19.46421885967225,30.171091021814668,20.922880441422674,33.86477370838167,ptm-44-co,001g-ptm,20250905-170332,4,-4,4,20,continue_linearly
s(age)_variance,19533.41249580932,19533.41249580932,28544.26457968026,28544.26457968026,1.0001039608244475,1.0001039608244475,72.97363295776492,106.63670195536994,72.97363295776492,106.63670195536994,ptm-44-co,001g-ptm,20250905-170332,4,-4,4,20,continue_linearly
scale_intercept,4413.469432461479,4413.469432461479,9245.9030669861,9245.9030669861,1.001098271720292,1.001098271720292,16.4879996520759,34.54118101064357,16.4879996520759,34.54118101064357,ptm-44-co,001g-ptm,20250905-170332,4,-4,4,20,continue_linearly
trafo0_latent,17219.339221071215,20250.37737374319,17985.26603234939,21735.2635481006,1.0002398896382112,1.0000664714183276,64.328633840261,67.1900110835213,75.65209642937695,81.19938821440756,ptm-44-co,001g-ptm,20250905-170332,4,-4,4,20,continue_linearly
trafo0_scale_square_transformed,14501.088996253611,14501.088996253611,23060.414559811987,23060.414559811987,1.0002357648701032,1.0002357648701032,54.173695770133335,86.14993556822931,54.173695770133335,86.14993556822931,ptm-44-co,001g-ptm,20250905-170332,4,-4,4,20,continue_linearly
g(age)_coef,5454.9234540380885,6767.517007609688,7240.33964005674,9180.40816381489,1.0007874176035052,1.0004623163302282,12.291974540536009,16.31518228812706,15.249736767360677,20.686879361763747,ptm-47-id,001g-ptm,20250906-040240,5,-4,7,30,identity
g(age)_variance,3121.2951457671525,3121.2951457671525,7207.150979382229,7207.150979382229,1.0013034132179772,1.0013034132179772,7.033440668515121,16.240395872610343,7.033440668515121,16.240395872610343,ptm-47-id,001g-ptm,20250906-040240,5,-4,7,30,identity
loc_intercept,5287.549169865536,5287.549169865536,9286.615837125424,9286.615837125424,1.00079541033414,1.00079541033414,11.914817930159291,20.926204812861737,11.914817930159291,20.926204812861737,ptm-47-id,001g-ptm,20250906-040240,5,-4,7,30,identity
s(age)_coef,5597.431641227781,5989.46378780654,9510.45475010562,10055.150579621002,1.0010185768048323,1.0004276274235904,12.613098571608694,21.430597265426226,13.496493032671305,22.657999872475248,ptm-47-id,001g-ptm,20250906-040240,5,-4,7,30,identity
s(age)_variance,17859.420555844303,17859.420555844303,30065.280076755214,30065.280076755214,1.000042495727119,1.000042495727119,40.2439272761298,67.74827554802553,40.2439272761298,67.74827554802553,ptm-47-id,001g-ptm,20250906-040240,5,-4,7,30,identity
scale_intercept,4795.801389930788,4795.801389930788,8305.421450982867,8305.421450982867,1.0007227956521465,1.0007227956521465,10.806727002348298,18.715208358850457,10.806727002348298,18.715208358850457,ptm-47-id,001g-ptm,20250906-040240,5,-4,7,30,identity
trafo0_latent,17282.280309928316,28150.77054141699,20730.573066948535,24168.619399726787,1.0002823416574715,1.0000935877207937,38.943415313149565,46.71370340880197,63.43417239620767,54.46090249376981,ptm-47-id,001g-ptm,20250906-040240,5,-4,7,30,identity
trafo0_scale_square_transformed,11712.757661414196,11712.757661414196,18402.69943436893,18402.69943436893,1.000261561118874,1.000261561118874,26.393206098427154,41.468136964772114,26.393206098427154,41.468136964772114,ptm-47-id,001g-ptm,20250906-040240,5,-4,7,30,identity
g(age)_coef,5454.9234540380885,6767.517007609688,7240.33964005674,9180.40816381489,1.0007874176035052,1.0004623163302282,11.828173031496672,15.69957686683929,14.674332799362697,19.906320808403585,ptm-47-co,001g-ptm,20250906-042400,5,-4,7,30,continue_linearly
g(age)_variance,3121.2951457671525,3121.2951457671525,7207.150979382229,7207.150979382229,1.0013034132179772,1.0013034132179772,6.768054469980601,15.627612296767982,6.768054469980601,15.627612296767982,ptm-47-co,001g-ptm,20250906-042400,5,-4,7,30,continue_linearly
loc_intercept,5287.549169865536,5287.549169865536,9286.615837125424,9286.615837125424,1.00079541033414,1.00079541033414,11.465247316608718,20.136616017451793,11.465247316608718,20.136616017451793,ptm-47-co,001g-ptm,20250906-042400,5,-4,7,30,continue_linearly
s(age)_coef,5597.431641227781,5989.46378780654,9510.45475010562,10055.150579621002,1.0010185768048323,1.0004276274235904,12.137180391670864,20.621976704218525,12.987242560776098,21.803066883636756,ptm-47-co,001g-ptm,20250906-042400,5,-4,7,30,continue_linearly
s(age)_variance,17859.420555844303,17859.420555844303,30065.280076755214,30065.280076755214,1.000042495727119,1.000042495727119,38.725441036284046,65.19199361542263,38.725441036284046,65.19199361542263,ptm-47-co,001g-ptm,20250906-042400,5,-4,7,30,continue_linearly
scale_intercept,4795.801389930788,4795.801389930788,8305.421450982867,8305.421450982867,1.0007227956521465,1.0007227956521465,10.398966941103756,18.009045012172884,10.398966941103756,18.009045012172884,ptm-47-co,001g-ptm,20250906-042400,5,-4,7,30,continue_linearly
