data_seed,data_type,ntrain,mcmc_strategy,apply_jitter
32,mixture,500,iwls-nuts,FALSE
32,mixture,1000,iwls-nuts,FALSE
32,skewnorm,250,iwls-nuts,FALSE
32,skewnorm,500,iwls-nuts,FALSE
32,skewnorm,1000,iwls-nuts,FALSE
32,ptm,250,iwls-nuts,FALSE
32,ptm,500,iwls-nuts,FALSE
32,ptm,1000,iwls-nuts,FALSE
33,gaussian,250,iwls-nuts,FALSE
33,gaussian,500,iwls-nuts,FALSE
33,gaussian,1000,iwls-nuts,FALSE
33,mixture,250,iwls-nuts,FALSE
33,mixture,500,iwls-nuts,FALSE
33,mixture,1000,iwls-nuts,FALSE
33,skewnorm,250,iwls-nuts,FALSE
33,skewnorm,500,iwls-nuts,FALSE
33,skewnorm,1000,iwls-nuts,FALSE
33,ptm,250,iwls-nuts,FALSE
33,ptm,500,iwls-nuts,FALSE
33,ptm,1000,iwls-nuts,FALSE
34,gaussian,250,iwls-nuts,FALSE
34,gaussian,500,iwls-nuts,FALSE
34,gaussian,1000,iwls-nuts,FALSE
34,mixture,250,iwls-nuts,FALSE
34,mixture,500,iwls-nuts,FALSE
34,mixture,1000,iwls-nuts,FALSE
34,skewnorm,250,iwls-nuts,FALSE
34,skewnorm,500,iwls-nuts,FALSE
34,skewnorm,1000,iwls-nuts,FALSE
34,ptm,250,iwls-nuts,FALSE
34,ptm,500,iwls-nuts,FALSE
34,ptm,1000,iwls-nuts,FALSE
35,gaussian,250,iwls-nuts,FALSE
35,gaussian,500,iwls-nuts,FALSE
35,gaussian,1000,iwls-nuts,FALSE
35,mixture,250,iwls-nuts,FALSE
35,mixture,500,iwls-nuts,FALSE
35,mixture,1000,iwls-nuts,FALSE
35,skewnorm,250,iwls-nuts,FALSE
35,skewnorm,500,iwls-nuts,FALSE
35,skewnorm,1000,iwls-nuts,FALSE
35,ptm,250,iwls-nuts,FALSE
35,ptm,500,iwls-nuts,FALSE
35,ptm,1000,iwls-nuts,FALSE
36,gaussian,250,iwls-nuts,FALSE
36,gaussian,500,iwls-nuts,FALSE
36,gaussian,1000,iwls-nuts,FALSE
36,mixture,250,iwls-nuts,FALSE
36,mixture,500,iwls-nuts,FALSE
36,mixture,1000,iwls-nuts,FALSE
36,skewnorm,250,iwls-nuts,FALSE
36,skewnorm,500,iwls-nuts,FALSE
36,skewnorm,1000,iwls-nuts,FALSE
36,ptm,250,iwls-nuts,FALSE
36,ptm,500,iwls-nuts,FALSE
36,ptm,1000,iwls-nuts,FALSE
37,gaussian,250,iwls-nuts,FALSE
37,gaussian,500,iwls-nuts,FALSE
37,gaussian,1000,iwls-nuts,FALSE
37,mixture,250,iwls-nuts,FALSE
37,mixture,500,iwls-nuts,FALSE
37,mixture,1000,iwls-nuts,FALSE
37,skewnorm,250,iwls-nuts,FALSE
37,skewnorm,500,iwls-nuts,FALSE
37,skewnorm,1000,iwls-nuts,FALSE
37,ptm,250,iwls-nuts,FALSE
37,ptm,500,iwls-nuts,FALSE
37,ptm,1000,iwls-nuts,FALSE
38,gaussian,250,iwls-nuts,FALSE
38,gaussian,500,iwls-nuts,FALSE
38,gaussian,1000,iwls-nuts,FALSE
38,mixture,250,iwls-nuts,FALSE
38,mixture,500,iwls-nuts,FALSE
